rule_task_id,material_id,source_path,file_name,title_guess,knowledge_type,extracted_rules,rule_confidence,evidence_status,notes
RULE-A1-001,MAT-20260324-0030,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","制度条款","国家奖学金和省政府奖学金奖励标准分别为每人每年8000元和6000元。申请条件包括：二年级以上在校生、学习成绩优异（成绩排名与综测排名均位于前10%）、社会实践等表现突出。同一学年内，国家奖学金和省政府奖学金不可兼得。","高","完整","需细化成绩排名10%-30%的替补条件"
RULE-A1-002,MAT-20260324-0031,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx","关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx","关于做好2024-2025学年本科生省政府奖学金评选工作的通知","流程规则","省政府奖学金评选流程：学生申请→学院审核推荐→学校评审→公示→上报教育厅。学院推荐须按分配名额1:1.2比例差额推荐，评审材料包括申请表、成绩单、获奖证书复印件等。","中","部分","具体名额分配比例待确认"
RULE-A1-003,MAT-20260324-0032,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","制度条款","国家奖学金奖励标准为每人每年8000元。申请条件：二年级及以上在校生，学习成绩排名与综合测评排名均位于前10%，社会实践、创新能力等表现突出。成绩排名10%-30%者需在道德风尚、学术研究等方面有突出表现。","高","完整","细则版本需与现行版本核对"
RULE-A1-004,MAT-20260324-0033,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/关于做好2024-2025学年本科生国家奖学金评选工作的通知.docx","关于做好2024-2025学年本科生国家奖学金评选工作的通知.docx","关于做好2024-2025学年本科生国家奖学金评选工作的通知","流程规则","国家奖学金评选实行差额评审，各学院按分配名额1:1.2比例推荐候选人。学院须成立评审小组，评审结果公示不少于3个工作日。申请材料包括审批表、成绩单、获奖证明等，须在规定时间内通过学工系统提交。","中","部分","具体时间节点和系统操作待确认"
RULE-A1-005,MAT-20260324-0034,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年励志奖学金评审通知/2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知.docx","2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知.docx","2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知","制度条款","国家励志奖学金标准每人每年5000元，省政府励志奖学金标准每人每年5000元。申请条件：二年级以上、家庭经济困难认定通过、学习成绩优秀（成绩排名与综测排名均位于前30%）。同一学年内，国家奖学金和励志奖学金不可兼得。","高","完整","成绩排名30%后的替补条件待确认"
RULE-A1-006,MAT-20260324-0035,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年励志奖学金评审通知/励志奖学金审核要点.docx","励志奖学金审核要点.docx","励志奖学金审核要点","判定标准","励志奖学金审核要点：1）必须是经认定的家庭经济困难学生；2）学习成绩和综测排名均位于班级前30%；3）同一学年内未获得国家奖学金；4）申请材料完整规范；5）无违纪处分记录。审核不通过情形：成绩排名不符、材料弄虚作假、违纪处分期内。","高","完整","待确认现行版本是否有更新"
RULE-A1-007,MAT-20260324-0036,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件3：（     学院）国家助学金申请表.docx","附件3：（     学院）国家助学金申请表.docx","附件3：（     学院）国家助学金申请表","表格模板","国家助学金申请表模板包含：个人基本信息、家庭经济情况、申请理由、班级评议意见、学院审核意见等栏目。填写要求：字迹工整、信息真实、理由简明扼要。申请表须附身份证复印件和困难认定证明材料。","中","部分","表格字段细节需核对现行版本"
RULE-A1-008,MAT-20260324-0037,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件4：本专科生国家助学金实施细则.docx","附件4：本专科生国家助学金实施细则.docx","附件4：本专科生国家助学金实施细则","制度条款","国家助学金平均资助标准为每生每年3300元，分2-3档执行（一般2000-4500元/年）。申请条件：家庭经济困难认定通过、遵守校规校纪、学习态度端正。助学金按学期发放，退学休学期间暂停发放。","高","完整","具体分档标准由学校自主确定，需确认现行标准"
RULE-A1-009,MAT-20260324-0038,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","关于做好2024-2025学年本科生国家助学金评选工作的通知","流程规则","国家助学金评选流程：学生申请→班级民主评议→学院审核公示→学校审批。班级评议须成立民主评议小组，评议结果班级内公示。学院审核后公示不少于3个工作日。","中","部分","具体时间节点需确认现行年度安排"
RULE-A1-010,MAT-20260324-0039,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明","流程规则","一网通办系统申请流程：登录系统→进入资助服务模块→选择困难认定申请→填写调查表→上传证明材料→提交申请→查看审核进度。系统操作问题可咨询辅导员或学校资助中心。","中","部分","系统界面和操作步骤可能已更新"
RULE-A1-011,MAT-20260324-0040,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明","流程规则","一网通办系统学生端操作：使用学号密码登录一网通办平台，在"学生服务-资助服务"中找到"家庭经济困难认定"，按提示填写信息并上传证明材料（身份证、户口本、困难证明等），确认无误后提交。","中","部分","与RULE-A1-010内容重复，需去重确认"
RULE-A1-012,MAT-20260324-0041,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/关于开展2025-2026学年家庭经济困难认定的通知.docx","关于开展2025-2026学年家庭经济困难认定的通知.docx","关于开展2025-2026学年家庭经济困难认定的通知","流程规则","困难认定工作流程：发布通知→学生网上申请→班级民主评议→学院审核→学校审批→结果公示。认定等级分为：特殊困难、困难、一般困难三档。脱贫享受政策等特殊群体学生优先认定。","中","部分","具体认定标准和材料清单需确认现行版本"
RULE-A1-013,MAT-20260324-0042,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/学院、班级一网通办操作说明.docx","学院、班级一网通办操作说明.docx","学院、班级一网通办操作说明","流程规则","班级/学院审核流程：登录一网通办系统→进入审核模块→查看学生申请→审核材料→填写评议/审核意见→提交下一环节。班级评议须召开会议讨论，学院审核后须公示认定结果。","中","部分","系统权限分配和操作细节待确认"
RULE-A1-014,MAT-20260324-0043,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025校级奖学金/关于评选2024-2025学年校级综合奖学金的通知.docx","关于评选2024-2025学年校级综合奖学金的通知.docx","关于评选2024-2025学年校级综合奖学金的通知","制度条款","校级综合奖学金分为一等、二等、三等，奖励标准分别为2000元、1200元、600元。评选比例：一等不超过学生总数的5%，二等不超过10%，三等不超过15%。评选依据为综合测评成绩排名。","中","部分","奖励标准和评选比例以现行文件为准"
RULE-A1-015,,"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1).doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1).doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1)","表格模板","班级评议小组工作报告模板包含：评议小组名单、评议时间地点、申请学生名单、评议过程记录、评议结论等内容。评议结论须明确每位申请人的认定等级建议（特殊困难/困难/一般困难）。","中","部分","具体格式要求以当年模板为准"
RULE-A1-016,,"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）.doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）.doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）","表格模板","班级评议报告模板要求：详细记录评议会议召开情况、参评学生情况、评议意见汇总、存在问题及建议等。评议小组须由辅导员、班委代表、普通学生代表组成，代表具有广泛性。","中","部分","与RULE-A1-015类似，属重复模板"
RULE-A1-017,,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/省奖学金系统操作说明(1020).pdf","省奖学金系统操作说明(1020).pdf","省奖学金系统操作说明(1020)","流程规则","省奖学金评审系统操作流程：登录山东省奖学金评审系统→填写申请信息→上传证明材料→提交学院审核→学院审核推荐→学校审核上报。系统开放时间以省教育厅通知为准。","中","部分","系统网址和现行操作待确认"
RULE-A1-018,,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/附件3：（    学院）2024-2025学年国家奖学金汇总表和审批表/（      学院）+姓名2025高等学校国家奖学金申请审批表.doc","（      学院）+姓名2025高等学校国家奖学金申请审批表.doc","（      学院）+姓名2025高等学校国家奖学金申请审批表","表格模板","国家奖学金申请审批表模板包含：个人基本信息、学习情况、获奖情况、申请理由、院系意见、学校意见等。填写要求：内容真实、格式规范、字迹清晰。申请理由应突出学习成绩优异和社会实践表现。","中","部分","表格格式以教育部最新版本为准"
RULE-A1-019,,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/附件3：（    学院）2024-2025学年国家奖学金汇总表和审批表/（样表）2025版国家奖学金申请审批表.doc","（样表）2025版国家奖学金申请审批表.doc","（样表）2025版国家奖学金申请审批表","表格模板","国家奖学金审批表样表展示标准填写格式。主要栏目：基本情况、学习成绩（排名、必修课门数、及格以上门数）、大学期间获奖情况、申请理由（200字）、推荐理由（100字）、院系意见（50字）。","中","部分","字数限制和格式要求需核对现行版本"
RULE-A1-020,,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025级助学金（全院123、25级26）/2025级公管2班助学金公示+报告.pdf","2025级公管2班助学金公示+报告.pdf","2025级公管2班助学金公示+报告","公示范例","助学金班级公示和报告范例：包含班级评议小组名单、申请学生名单、评议结果、公示时间地点、公示结果等内容。公示期不少于3个工作日，无异议后形成报告上报学院。","中","部分","此为具体班级实例，仅供参考格式"
RULE-A1-021,,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/25级困难认定/25级公管2班报告+公示结果.pdf","25级公管2班报告+公示结果.pdf","25级公管2班报告+公示结果","公示范例","困难认定班级报告范例：记录班级评议会议召开情况、认定等级分布、公示情况及结果。具体格式包括：会议时间地点、参会人员、申请学生情况、评议结论、公示截图等。","中","部分","此为具体班级实例，仅供参考格式"
RULE-A1-022,,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/25级困难认定/25级医药管理学院承诺书.pdf","25级医药管理学院承诺书.pdf","25级医药管理学院承诺书","表格模板","学院级承诺书范例：学生承诺所填写的家庭经济状况信息真实准确，如有虚假愿承担相应责任。承诺书须学生本人签字，随困难认定申请材料一并提交。","低","部分","此为实例文档，具体格式以当年要求为准"
RULE-A1-023,,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/25级困难认定/25级医药管理学院社会救助家庭经济状况核对授权.pdf","25级医药管理学院社会救助家庭经济状况核对授权.pdf","25级医药管理学院社会救助家庭经济状况核对授权","表格模板","核对授权书范例：学生授权学校及民政部门查询核实家庭经济状况，授权期限一般为当学年。授权书须学生本人签字，是困难认定的必备材料之一。","低","部分","此为实例文档，授权条款以正式版本为准"
RULE-A1-024,,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1).doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1).doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1)","表格模板","班级评议报告模板（模板版）：规范记录班级困难认定评议全过程，包括小组成立、会议召开、评议过程、结果公示等环节，确保认定工作公开公平公正。","中","部分","与RULE-A1-015重复，模板版本"
RULE-A1-025,,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件1：山东省高等教育资助申请表.doc","附件1：山东省高等教育资助申请表.doc","附件1：山东省高等教育资助申请表","表格模板","山东省高等教育资助申请表（模板版）：省级统一格式的困难认定申请表，包含学生基本信息、家庭经济情况、申请资助项目等内容。填写要求与学校版本基本一致。","中","部分","省级模板与学校实际使用版本可能存在差异"
RULE-A1-026,,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件3：个人承诺书、社会救助家庭经济状况核对授权.pdf","附件3：个人承诺书、社会救助家庭经济状况核对授权.pdf","附件3：个人承诺书、社会救助家庭经济状况核对授权","表格模板","承诺书和授权书（模板版）：包含个人承诺书（承诺信息真实）和社会救助家庭经济状况核对授权书（授权民政部门查询）两部分，须学生本人签字确认。","中","部分","与RULE-A1-023类似，属重复模板"
RULE-A1-027,,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）.doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）.doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）","表格模板","班级评议报告模板（另一版本）：与RULE-A1-015、RULE-A1-024类似，为工作报告模板的不同版本或存档。","中","部分","重复模板，需确认现行使用版本"
RULE-A1-028,,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/贫困认定弃权声明 (2).docx","贫困认定弃权声明 (2).docx","贫困认定弃权声明 (2)","表格模板","贫困认定弃权声明（模板版）：学生自愿放弃家庭经济困难认定资格的声明书模板。签署后当学年无法申请需要困难认定的资助项目。","中","部分","声明条款以正式版本为准"
RULE-A1-029,,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/贫困认定弃权声明 (2).docx","贫困认定弃权声明 (2).docx","贫困认定弃权声明 (2)","表格模板","贫困认定弃权声明（另一版本）：与RULE-A1-028相同，为弃权声明的不同存放位置版本。","中","部分","重复模板"
