material_id,source_path,file_name,extension,knowledge_category,value_level,timeliness,processing_action,kb_entry_id,status,notes
MAT-20260324-0050,数据库部分材料/数据库部分材料/模板/医药管理学院2025-2026学年学生综合素质测评办法（暂行）.docx,医药管理学院2025-2026学年学生综合素质测评办法（暂行）.docx,.docx,心理与测评,B,待确认,提炼规则后入库,KB-20260324-0061,待处理,已转换markdown可用
MAT-20260324-0051,数据库部分材料/数据库部分材料/模板/学生考试结束申请留校住宿家长知情同意书.docx,学生考试结束申请留校住宿家长知情同意书.docx,.docx,证件与校园服务,B,待确认,提炼规则后入库,KB-20260324-0062,待处理,已转换markdown可用
MAT-20260324-0052,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年秋季学期泰安校区2024级、2025级学生体质健康测试通知材料/附件2：免予执行《国家学生体质健康标准》申请表.docx,附件2：免予执行《国家学生体质健康标准》申请表.docx,.docx,事务申请与审批,B,阶段性,可转知识,KB-20260324-0063,待处理,已转换markdown可用
MAT-20260324-0053,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/HRU大赛2025/外媒采访报备.docx,外媒采访报备.docx,.docx,事务申请与审批,B,阶段性,可转知识,KB-20260324-0064,待处理,已转换markdown可用
MAT-20260324-0054,数据库部分材料/数据库部分材料/模板/入团申请书的要求.docx,入团申请书的要求.docx,.docx,事务申请与审批,B,待确认,提炼规则后入库,KB-20260324-0065,待处理,已转换markdown可用
MAT-20260324-0056,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年秋季学期泰安校区2024级、2025级学生体质健康测试通知材料/附件5：体质健康测试承诺书.docx,附件5：体质健康测试承诺书.docx,.docx,事务申请与审批,B,阶段性,可转知识,KB-20260324-0066,待处理,已转换markdown可用
MAT-20260324-0057,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025外研社比赛/2025 外研社校赛通知（总）.docx,2025 外研社校赛通知（总）.docx,.docx,竞赛与第二课堂,B,阶段性,可转知识,KB-20260324-0067,待处理,已转换markdown可用
MAT-20260324-0058,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025学宪法讲宪法活动/比赛活动/校（院）关于组织参加第十届全省学生"学宪法讲宪法"活动省级比赛的通知.docx,校（院）关于组织参加第十届全省学生"学宪法讲宪法"活动省级比赛的通知.docx,.docx,竞赛与第二课堂,B,阶段性,可转知识,KB-20260324-0068,待处理,已转换markdown可用
MAT-20260324-0059,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025学宪法讲宪法活动/宪法卫士/关于组织参加"宪法卫士"2025年行动计划的通知.docx,关于组织参加"宪法卫士"2025年行动计划的通知.docx,.docx,竞赛与第二课堂,B,阶段性,可转知识,KB-20260324-0069,待处理,已转换markdown可用
MAT-20260324-0060,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2026年大学生医保/停保流程.docx,停保流程.docx,.docx,证件与校园服务,B,阶段性,可转知识,KB-20260324-0070,待处理,已转换markdown可用
MAT-20260324-0061,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2026元旦假期离返校统计/关于做好2026元旦假期学生安全教育管理工作的通知(1).docx,关于做好2026元旦假期学生安全教育管理工作的通知(1).docx,.docx,事务申请与审批,B,阶段性,可转知识,KB-20260324-0071,待处理,源文件待补充
MAT-CP-001,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.3 校(院)大型活动审批报备-A4-竖版 (5).pdf,9.3 校(院)大型活动审批报备-A4-竖版 (5).pdf,.pdf,事务申请与审批,B,阶段性,可转知识,KB-20260324-0072,待处理,源文件待补充
MAT-CP-002,数据库部分材料/数据库部分材料/模板/入党申请书撰写说明.doc,入党申请书撰写说明.doc,.doc,事务申请与审批,B,待确认,提炼规则后入库,KB-20260324-0073,待处理,源文件待补充
MAT-CP-003,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/2.【辅导员】中国大学生心理健康测评系统操作手册.pdf,2.【辅导员】中国大学生心理健康测评系统操作手册.pdf,.pdf,心理与测评,B,阶段性,可转知识,KB-20260324-0074,待处理,源文件待补充
MAT-CP-004,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/2025山东第一医科大学重点关注学生台账封皮及目录（样表）.docx,2025山东第一医科大学重点关注学生台账封皮及目录（样表）.docx,.docx,心理与测评,B,阶段性,可转知识,KB-20260324-0075,待处理,源文件待补充
MAT-CP-005,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/5.心理测评各环节注意事项.pdf,5.心理测评各环节注意事项.pdf,.pdf,心理与测评,B,阶段性,可转知识,KB-20260324-0076,待处理,源文件待补充
MAT-CP-006,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/6.学生测评登录入口.pdf,6.学生测评登录入口.pdf,.pdf,心理与测评,B,阶段性,可转知识,KB-20260324-0077,待处理,源文件待补充
MAT-CP-007,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/7.学生心理筛查后关注对象约谈提纲(参考).doc,7.学生心理筛查后关注对象约谈提纲(参考).doc,.doc,心理与测评,B,阶段性,可转知识,KB-20260324-0078,待处理,源文件待补充
MAT-CP-008,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/8.学生心理普查约谈记录表（学院用表）.doc,8.学生心理普查约谈记录表（学院用表）.doc,.doc,心理与测评,B,阶段性,可转知识,KB-20260324-0079,待处理,源文件待补充
