"issue_id","issue_type","severity","kb_id","material_id","source_batch","title","description","evidence_location","recommended_action"
"CONFLICT-001","KB编号冲突","P0-严重","KB-20260324-0061","MAT-20260324-0024","BATCH-A1","国家助学金申请表","与BATCH-A2(KB-0061:就业活动)、BATCH-A3(KB-0061:综合素质测评)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-002","KB编号冲突","P0-严重","KB-20260324-0062","MAT-20260324-0025","BATCH-A1","本专科生国家助学金实施细则","与BATCH-A2(KB-0062:西部计划)、BATCH-A3(KB-0062:留校住宿同意书)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-003","KB编号冲突","P0-严重","KB-20260324-0063","MAT-20260324-0026","BATCH-A1","本科生国家助学金评选工作通知","与BATCH-A2(KB-0063:毕业生登记表)、BATCH-A3(KB-0063:免测申请)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-004","KB编号冲突","P0-严重","KB-20260324-0064","MAT-20260324-0027","BATCH-A1","一网通办系统学生申请操作说明","与BATCH-A2(KB-0064:档案转递单)、BATCH-A3(KB-0064:外媒采访报备)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-005","KB编号冲突","P0-严重","KB-20260324-0065","MAT-20260324-0028","BATCH-A1","家庭经济困难认定工作通知","与BATCH-A2(KB-0065:就业数据监测)、BATCH-A3(KB-0065:入团申请书)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-006","KB编号冲突","P0-严重","KB-20260324-0066","MAT-20260324-0029","BATCH-A1","学院、班级一网通办操作说明","与BATCH-A2(KB-0066:困难群体就业帮扶)、BATCH-A3(KB-0066:体测承诺书)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-007","KB编号冲突","P0-严重","KB-20260324-0067","MAT-20260324-0055","BATCH-A1","院级优秀学生评选通知","与BATCH-A2(KB-0067:百日冲刺行动)、BATCH-A3(KB-0067:外研社校赛)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-008","KB编号冲突","P0-严重","KB-20260324-0068","MAT-20260324-CAND-001","BATCH-A1","山东省高等教育资助申请表","与BATCH-A2(KB-0068:就业政策宣传月)、BATCH-A3(KB-0068:学宪法讲宪法)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-009","KB编号冲突","P0-严重","KB-20260324-0069","MAT-20260324-CAND-002","BATCH-A1","个人承诺书及家庭经济状况核对授权","与BATCH-A2(KB-0069:优秀毕业生典型)、BATCH-A3(KB-0069:宪法卫士)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-010","KB编号冲突","P0-严重","KB-20260324-0070","MAT-20260324-CAND-003","BATCH-A1","贫困认定弃权声明","与BATCH-A2(KB-0070:2024届就业举措[过期])、BATCH-A3(KB-0070:医保停保)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-011","KB编号冲突","P0-严重","KB-20260324-0071","MAT-20260324-CAND-004","BATCH-A1","贫困认定弃权声明（通用版）","与BATCH-A2(KB-0071:毕业生征兵政策)、BATCH-A3(KB-0071:元旦假期安全教育)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-012","KB编号冲突","P0-严重","KB-20260324-0072","MAT-20260324-CAND-005","BATCH-A1","勤工助学申请表","与BATCH-A2(KB-0072:智慧团建转出)、BATCH-A3(KB-0072:大型活动审批)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-013","KB编号冲突","P0-严重","KB-20260324-0073","MAT-20260324-0119","BATCH-A2","新生入学教育总结验收","与BATCH-A3(KB-0073:入党申请书)使用相同编号","batch-a2-queue.csv vs batch-a3-queue.csv","建议A3重新编号为KB-0082起"
"CONFLICT-014","KB编号冲突","P0-严重","KB-20260324-0074","MAT-20260324-0120","BATCH-A2","普通本科生在校情况报告","与BATCH-A3(KB-0074:心理测评操作手册)使用相同编号","batch-a2-queue.csv vs batch-a3-queue.csv","建议A3重新编号为KB-0082起"
"CONFLICT-015","KB编号冲突","P0-严重","KB-20260324-0075","MAT-20260324-0121","BATCH-A2","新生学籍注册报告","与BATCH-A3(KB-0075:重点关注学生台账)使用相同编号","batch-a2-queue.csv vs batch-a3-queue.csv","建议A3重新编号为KB-0082起"
"CONFLICT-016","KB编号冲突","P0-严重","KB-20260324-0076","MAT-20260324-0122","BATCH-A2","新生学籍注册错误信息汇总报告(版本3)","与BATCH-A2(KB-0077:版本2)、BATCH-A3(KB-0076:心理测评注意事项)使用相同编号","batch-a2-queue.csv","建议合并0076/0077或标记版本关系"
"CONFLICT-017","KB编号冲突","P0-严重","KB-20260324-0077","MAT-20260324-0123","BATCH-A2","新生学籍注册错误信息汇总报告(版本2)","与BATCH-A2(KB-0076:版本3)、BATCH-A3(KB-0077:测评登录入口)使用相同编号","batch-a2-queue.csv","建议合并0076/0077或标记版本关系"
"CONFLICT-018","KB编号冲突","P0-严重","KB-20260324-0078","MAT-20260324-0124","BATCH-A2","辅修学位信息反馈报告","与BATCH-A3(KB-0078:约谈提纲)使用相同编号","batch-a2-queue.csv vs batch-a3-queue.csv","建议A3重新编号为KB-0082起"
"CONFLICT-019","KB编号冲突","P0-严重","KB-20260324-0079","MAT-20260324-0125","BATCH-A2","学籍档案卡","与BATCH-A3(KB-0079:约谈记录表)使用相同编号","batch-a2-queue.csv vs batch-a3-queue.csv","建议A3重新编号为KB-0082起"
"CONFLICT-020","KB编号冲突","P0-严重","KB-20260324-0080","MAT-20260324-0126","BATCH-A2","入学资格审查和录取资格复查登记表","与BATCH-A3无冲突，但编号连续","batch-a2-queue.csv","确认A3未使用，可保留"
"CONFLICT-021","KB编号冲突","P0-严重","KB-20260324-0081","MAT-20260324-0127","BATCH-A2","新生入学资格审查和录取资格复查资料汇总","与BATCH-A3无冲突，但编号连续","batch-a2-queue.csv","确认A3未使用，可保留"
"DUP-001","规则条目重复","P1-告警","RULE-A1-010","MAT-20260324-0039","BATCH-A1","一网通办系统学生申请操作说明","与RULE-A1-011内容重复，文件路径不同","batch-a1-rule-extraction.csv","建议合并为单一规则，保留最新版本"
"DUP-002","规则条目重复","P1-告警","RULE-A1-011","MAT-20260324-0040","BATCH-A1","一网通办系统学生申请操作说明","与RULE-A1-010内容重复，文件路径不同","batch-a1-rule-extraction.csv","建议合并为单一规则，保留最新版本"
"DUP-003","规则条目重复","P1-告警","RULE-A1-015","","BATCH-A1","家庭经济困难学生认定工作报告模板(1)","与RULE-A1-016、RULE-A1-024、RULE-A1-027内容重复","batch-a1-rule-extraction.csv","建议保留一个版本，标记其他为重复"
"DUP-004","规则条目重复","P1-告警","RULE-A1-016","","BATCH-A1","家庭经济困难学生认定工作报告模板","与RULE-A1-015、RULE-A1-024、RULE-A1-027内容重复","batch-a1-rule-extraction.csv","建议保留一个版本，标记其他为重复"
"DUP-005","规则条目重复","P1-告警","RULE-A1-023","","BATCH-A1","社会救助家庭经济状况核对授权","与RULE-A1-026内容重复","batch-a1-rule-extraction.csv","建议保留一个版本，标记其他为重复"
"DUP-006","规则条目重复","P1-告警","RULE-A1-024","","BATCH-A1","家庭经济困难学生认定工作报告模板(1)","与RULE-A1-015、RULE-A1-016、RULE-A1-027内容重复","batch-a1-rule-extraction.csv","建议保留一个版本，标记其他为重复"
"DUP-007","规则条目重复","P1-告警","RULE-A1-026","","BATCH-A1","个人承诺书、社会救助家庭经济状况核对授权","与RULE-A1-023内容重复","batch-a1-rule-extraction.csv","建议保留一个版本，标记其他为重复"
"DUP-008","规则条目重复","P1-告警","RULE-A1-027","","BATCH-A1","家庭经济困难学生认定工作报告模板","与RULE-A1-015、RULE-A1-016、RULE-A1-024内容重复","batch-a1-rule-extraction.csv","建议保留一个版本，标记其他为重复"
"DUP-009","规则条目重复","P1-告警","RULE-A1-028","","BATCH-A1","贫困认定弃权声明","与RULE-A1-029内容重复","batch-a1-rule-extraction.csv","建议保留一个版本，标记其他为重复"
"DUP-010","规则条目重复","P1-告警","RULE-A1-029","","BATCH-A1","贫困认定弃权声明(2)","与RULE-A1-028内容重复","batch-a1-rule-extraction.csv","建议保留一个版本，标记其他为重复"
"EVID-001","证据状态不完整","P1-告警","RULE-A1-002","MAT-20260324-0031","BATCH-A1","省政府奖学金评选流程","evidence_status为部分","batch-a1-rule-extraction.csv","需补充具体名额分配比例"
"EVID-002","证据状态不完整","P1-告警","RULE-A1-004","MAT-20260324-0033","BATCH-A1","国家奖学金评选流程","evidence_status为部分","batch-a1-rule-extraction.csv","需补充具体时间节点和系统操作"
"EVID-003","证据状态不完整","P1-告警","RULE-A1-007","MAT-20260324-0036","BATCH-A1","国家助学金申请表模板","evidence_status为部分","batch-a1-rule-extraction.csv","需核对现行版本表格字段"
"EVID-004","证据状态不完整","P1-告警","RULE-A1-009","MAT-20260324-0038","BATCH-A1","国家助学金评选流程","evidence_status为部分","batch-a1-rule-extraction.csv","需确认现行年度安排"
"EVID-005","证据状态不完整","P1-告警","RULE-A1-012","MAT-20260324-0041","BATCH-A1","困难认定工作流程","evidence_status为部分","batch-a1-rule-extraction.csv","需确认现行版本认定标准"
"EVID-006","证据状态不完整","P1-告警","RULE-A1-014","MAT-20260324-0043","BATCH-A1","校级综合奖学金","evidence_status为部分","batch-a1-rule-extraction.csv","需确认现行奖励标准"
"EVID-007","时效性待确认","P2-提示","KB-20260324-0070","MAT-20260324-0114","BATCH-A2","2024届就业举措","标注为过期材料","batch-a2-queue.csv","需确认是否保留或归档"
"EVID-008","时效性待确认","P1-告警","RULE-A1-003","MAT-20260324-0032","BATCH-A1","国家奖学金实施细则","timeliness标注为待确认","batch-a1-rule-extraction.csv","需与现行版本核对"
"EVID-009","时效性待确认","P1-告警","RULE-A1-005","MAT-20260324-0034","BATCH-A1","励志奖学金评审通知","timeliness标注为待确认","batch-a1-rule-extraction.csv","需与现行版本核对"
"EVID-010","源文件缺失","P1-告警","KB-20260324-0071","MAT-20260324-0061","BATCH-A3","元旦假期学生安全教育管理工作通知","notes标注'源文件待补充'","batch-a3-queue.csv","需补充源文件后完善"
"EVID-011","源文件缺失","P1-告警","KB-20260324-0072","MAT-CP-001","BATCH-A3","大型活动审批报备流程","notes标注'源文件待补充'","batch-a3-queue.csv","需补充源文件后完善"
"EVID-012","源文件缺失","P1-告警","KB-20260324-0073","MAT-CP-002","BATCH-A3","入党申请书撰写说明","notes标注'源文件待补充'","batch-a3-queue.csv","需补充源文件后完善"
"EVID-013","源文件缺失","P1-告警","KB-20260324-0074","MAT-CP-003","BATCH-A3","心理测评系统操作手册","notes标注'源文件待补充'","batch-a3-queue.csv","需补充源文件后完善"
"EVID-014","源文件缺失","P1-告警","KB-20260324-0075","MAT-CP-004","BATCH-A3","重点关注学生台账模板","notes标注'源文件待补充'","batch-a3-queue.csv","需补充源文件后完善"
"EVID-015","源文件缺失","P1-告警","KB-20260324-0076","MAT-CP-005","BATCH-A3","心理测评各环节注意事项","notes标注'源文件待补充'","batch-a3-queue.csv","需补充源文件后完善"
"EVID-016","源文件缺失","P1-告警","KB-20260324-0077","MAT-CP-006","BATCH-A3","心理测评登录入口指南","notes标注'源文件待补充'","batch-a3-queue.csv","需补充源文件后完善"
"EVID-017","源文件缺失","P1-告警","KB-20260324-0078","MAT-CP-007","BATCH-A3","学生心理筛查后约谈提纲","notes标注'源文件待补充'","batch-a3-queue.csv","需补充源文件后完善"
"EVID-018","源文件缺失","P1-告警","KB-20260324-0079","MAT-CP-008","BATCH-A3","学生心理普查约谈记录表","notes标注'源文件待补充'","batch-a3-queue.csv","需补充源文件后完善"
"VERSION-001","版本冲突","P1-告警","KB-20260324-0076","MAT-20260324-0122","BATCH-A2","学籍注册错误信息汇总报告","与KB-0077为同一附件的不同版本","batch-a2-queue.csv","建议确认保留最新版本或合并"
"VERSION-002","版本冲突","P1-告警","KB-20260324-0077","MAT-20260324-0123","BATCH-A2","学籍注册错误信息汇总报告(版本2)","与KB-0076为同一附件的不同版本","batch-a2-queue.csv","建议确认保留最新版本或合并"
"VERSION-003","版本冲突","P1-告警","KB-20260324-0080","MAT-20260324-0126","BATCH-A2","入学资格审查登记表","与KB-0081内容关联需确认","batch-a2-queue.csv","建议确认是否合并或区分"
"VERSION-004","版本冲突","P1-告警","KB-20260324-0081","MAT-20260324-0127","BATCH-A2","入学资格审查资料汇总","与KB-0080内容关联需确认","batch-a2-queue.csv","建议确认是否合并或区分"
"P2-001","模板类材料","P2-提示","P2-REX-0003","MAT-20260324-0030","BATCH-A1","省政府奖学金实施细则(模板)","模板类材料需与当年正式通知复核","first-batch-rule-extraction-master.csv","建议标记为模板参考"
"P2-002","模板类材料","P2-提示","P2-REX-0004","MAT-20260324-0031","BATCH-A1","省政府奖学金评选通知(模板)","模板类材料需与当年正式通知复核","first-batch-rule-extraction-master.csv","建议标记为模板参考"
"P2-003","模板类材料","P2-提示","P2-REX-0005","MAT-20260324-0032","BATCH-A1","国家奖学金实施细则(模板)","模板类材料需与当年正式通知复核","first-batch-rule-extraction-master.csv","建议标记为模板参考"
"P2-004","模板类材料","P2-提示","P2-REX-0006","MAT-20260324-0033","BATCH-A1","国家奖学金评选通知(模板)","模板类材料需与当年正式通知复核","first-batch-rule-extraction-master.csv","建议标记为模板参考"
"P2-005","待人工复核","P1-告警","P1-REX-0005","MAT-20260323-0019","BATCH-A1","毕业生应征入伍政策","reviewer标注为manual_review","first-batch-rule-extraction-master.csv","政策数值需按年度公告复核"
"P2-006","待人工复核","P1-告警","P2-REX-0018","MAT-20260324-0051","BATCH-A3","留校住宿家长知情同意书","涉及承诺/申请文书口径","batch-a3-rule-extraction.csv","需学院人工复核后发布"
"P2-007","待人工复核","P1-告警","P2-REX-0019","MAT-20260324-0054","BATCH-A3","入团申请书撰写要求","涉及承诺/申请文书口径","batch-a3-rule-extraction.csv","需学院人工复核后发布"
"SUMMARY","统计汇总","INFO","-","-","-","-","总冲突数:21, 重复规则:10, 证据不完整:18, 源文件缺失:9, 版本冲突:4, 模板类:4, 待复核:3","-","详见各条目处理建议"
