"entry_id","task_id","file_path","fill_status","notes"
"KB-20260324-0001","P0-REX-0001","knowledge-base/entries/first-batch-drafts/KB-20260324-0001.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0002","P0-REX-0002","knowledge-base/entries/first-batch-drafts/KB-20260324-0002.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0003","P0-REX-0003","knowledge-base/entries/first-batch-drafts/KB-20260324-0003.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0004","P0-REX-0004","knowledge-base/entries/first-batch-drafts/KB-20260324-0004.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0005","P0-REX-0005","knowledge-base/entries/first-batch-drafts/KB-20260324-0005.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0006","P0-REX-0006","knowledge-base/entries/first-batch-drafts/KB-20260324-0006.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0007","P0-REX-0007","knowledge-base/entries/first-batch-drafts/KB-20260324-0007.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0008","P0-REX-0008","knowledge-base/entries/first-batch-drafts/KB-20260324-0008.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0009","P0-REX-0009","knowledge-base/entries/first-batch-drafts/KB-20260324-0009.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0010","P0-REX-0010","knowledge-base/entries/first-batch-drafts/KB-20260324-0010.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0011","P0-REX-0011","knowledge-base/entries/first-batch-drafts/KB-20260324-0011.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0012","P0-REX-0012","knowledge-base/entries/first-batch-drafts/KB-20260324-0012.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0013","P0-REX-0013","knowledge-base/entries/first-batch-drafts/KB-20260324-0013.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0014","P0-REX-0015","knowledge-base/entries/first-batch-drafts/KB-20260324-0014.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0015","P0-REX-0016","knowledge-base/entries/first-batch-drafts/KB-20260324-0015.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0016","P1-REX-0001","knowledge-base/entries/first-batch-drafts/KB-20260324-0016.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0017","P1-REX-0002","knowledge-base/entries/first-batch-drafts/KB-20260324-0017.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0018","P1-REX-0003","knowledge-base/entries/first-batch-drafts/KB-20260324-0018.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0019","P1-REX-0004","knowledge-base/entries/first-batch-drafts/KB-20260324-0019.md","filled","已按抽取字段完成正文填充"
"KB-20260324-0020","P1-REX-0005","knowledge-base/entries/first-batch-drafts/KB-20260324-0020.md","filled","年度政策项需发布前复核数值"
"KB-20260324-0021","P2-REX-0001","knowledge-base/entries/first-batch-drafts/KB-20260324-0021.md","filled","模板平行版本已标注主参考互校"
"KB-20260324-0022","P2-REX-0002","knowledge-base/entries/first-batch-drafts/KB-20260324-0022.md","filled","模板平行版本已标注主参考互校"
"KB-20260324-0023","P1-REX-0006","knowledge-base/entries/first-batch-drafts/KB-20260324-0023.md","reviewed","20260324质量复核已完成：category/问题概述/标准答复/流程格式全项修订"
"KB-20260324-0024","P1-REX-0007","knowledge-base/entries/first-batch-drafts/KB-20260324-0024.md","reviewed","20260324质量复核已完成：category/问题概述/标准答复/流程格式全项修订"
"KB-20260324-0025","P1-REX-0008","knowledge-base/entries/first-batch-drafts/KB-20260324-0025.md","reviewed","20260324质量复核已完成：category/问题概述/标准答复/流程格式全项修订"
"KB-20260324-0026","P1-REX-0009","knowledge-base/entries/first-batch-drafts/KB-20260324-0026.md","reviewed","20260324质量复核已完成：category/问题概述/标准答复/流程格式全项修订"
"KB-20260324-0027","P1-REX-0010","knowledge-base/entries/first-batch-drafts/KB-20260324-0027.md","reviewed","20260324质量复核已完成：category/问题概述/标准答复/流程格式全项修订"
"KB-20260324-0028","P1-REX-0011","knowledge-base/entries/first-batch-drafts/KB-20260324-0028.md","reviewed","20260324质量复核已完成：category/问题概述/标准答复/流程格式全项修订"
"KB-20260324-0029","P1-REX-0012","knowledge-base/entries/first-batch-drafts/KB-20260324-0029.md","reviewed","20260324质量复核已完成：category/问题概述/标准答复/流程格式全项修订"
"KB-20260324-0030","P1-REX-0013","knowledge-base/entries/first-batch-drafts/KB-20260324-0030.md","reviewed","20260324质量复核已完成：category/问题概述/标准答复/流程格式全项修订"
"KB-20260324-0031","P1-REX-0014","knowledge-base/entries/first-batch-drafts/KB-20260324-0031.md","reviewed","20260324质量复核已完成：category/问题概述/标准答复/流程格式全项修订"
"KB-20260324-0032","P1-REX-0015","knowledge-base/entries/first-batch-drafts/KB-20260324-0032.md","reviewed","20260324质量复核已完成：category/问题概述/标准答复/流程格式全项修订"
"KB-20260324-0033","P1-REX-0016","knowledge-base/entries/first-batch-drafts/KB-20260324-0033.md","reviewed","20260324质量复核已完成：category/问题概述/标准答复/流程格式全项修订"
"KB-20260324-0034","P1-REX-0017","knowledge-base/entries/first-batch-drafts/KB-20260324-0034.md","reviewed","20260324质量复核已完成：category/问题概述/标准答复/流程格式全项修订"
"KB-20260324-0035","P1-REX-0018","knowledge-base/entries/first-batch-drafts/KB-20260324-0035.md","reviewed","20260324质量复核已完成：category/问题概述/标准答复/流程格式全项修订"
"KB-20260324-0036","P1-REX-0019","knowledge-base/entries/first-batch-drafts/KB-20260324-0036.md","reviewed","20260324质量复核已完成：category/问题概述/标准答复/流程格式全项修订"
"KB-20260324-0037","P1-REX-0020","knowledge-base/entries/first-batch-drafts/KB-20260324-0037.md","reviewed","20260324质量复核已完成：category/问题概述/标准答复/流程格式全项修订"
"KB-20260324-0038","P1-REX-0021","knowledge-base/entries/first-batch-drafts/KB-20260324-0038.md","reviewed","20260324质量复核已完成：category从待定修正为奖助贷补；全项修订"
"KB-20260324-0039","P1-REX-0022","knowledge-base/entries/first-batch-drafts/KB-20260324-0039.md","reviewed","20260324质量复核已完成：category从待定修正为事务申请与审批；全项修订"
"KB-20260324-0040","P1-REX-0023","knowledge-base/entries/first-batch-drafts/KB-20260324-0040.md","reviewed","20260324质量复核已完成：category从待定修正为竞赛与第二课堂；全项修订"
"KB-20260324-0041","P1-REX-0024","knowledge-base/entries/first-batch-drafts/KB-20260324-0041.md","reviewed","20260324质量复核已完成：category从待定修正为竞赛与第二课堂；全项修订"
"KB-20260324-0042","P1-REX-0025","knowledge-base/entries/first-batch-drafts/KB-20260324-0042.md","reviewed","20260324质量复核已完成：category从待定修正为竞赛与第二课堂；全项修订"
"KB-20260324-0043","P1-REX-0026","knowledge-base/entries/first-batch-drafts/KB-20260324-0043.md","reviewed","20260324质量复核已完成：category从待定修正为证件与校园服务；全项修订"
"KB-20260324-0044","P1-REX-0027","knowledge-base/entries/first-batch-drafts/KB-20260324-0044.md","reviewed","20260324质量复核已完成：category从待定修正为事务申请与审批；全项修订"
"KB-20260324-0045","P1-REX-0028","knowledge-base/entries/first-batch-drafts/KB-20260324-0045.md","reviewed","20260324质量复核已完成：category从待定修正为入学与学籍；全项修订"
"KB-20260324-0046","P2-REX-0003","knowledge-base/entries/first-batch-drafts/KB-20260324-0046.md","reviewed","20260324质量复核已完成：title消歧义（省政府奖学金附件版）；全项修订"
"KB-20260324-0047","P2-REX-0004","knowledge-base/entries/first-batch-drafts/KB-20260324-0047.md","reviewed","20260324质量复核已完成：全项修订"
"KB-20260324-0048","P2-REX-0005","knowledge-base/entries/first-batch-drafts/KB-20260324-0048.md","reviewed","20260324质量复核已完成：title消歧义（国家奖学金附件版）；全项修订"
"KB-20260324-0049","P2-REX-0006","knowledge-base/entries/first-batch-drafts/KB-20260324-0049.md","reviewed","20260324质量复核已完成：全项修订"
"KB-20260324-0050","P2-REX-0007","knowledge-base/entries/first-batch-drafts/KB-20260324-0050.md","reviewed","20260324质量复核已完成：全项修订"
"KB-20260324-0051","P2-REX-0008","knowledge-base/entries/first-batch-drafts/KB-20260324-0051.md","reviewed","20260324质量复核已完成：全项修订"
"KB-20260324-0052","P2-REX-0009","knowledge-base/entries/first-batch-drafts/KB-20260324-0052.md","reviewed","20260324质量复核已完成：title消歧义（模板版）；全项修订"
"KB-20260324-0053","P2-REX-0010","knowledge-base/entries/first-batch-drafts/KB-20260324-0053.md","reviewed","20260324质量复核已完成：title消歧义（模板版）；全项修订"
"KB-20260324-0054","P2-REX-0011","knowledge-base/entries/first-batch-drafts/KB-20260324-0054.md","reviewed","20260324质量复核已完成：title消歧义（模板版）；全项修订"
"KB-20260324-0055","P2-REX-0012","knowledge-base/entries/first-batch-drafts/KB-20260324-0055.md","reviewed","20260324质量复核已完成：title消歧义（助学金评审附件版）；全项修订"
"KB-20260324-0056","P2-REX-0013","knowledge-base/entries/first-batch-drafts/KB-20260324-0056.md","reviewed","20260324质量复核已完成：title消歧义（困难认定通知附件版）；全项修订"
"KB-20260324-0057","P2-REX-0014","knowledge-base/entries/first-batch-drafts/KB-20260324-0057.md","reviewed","20260324质量复核已完成：title消歧义（模板版）；全项修订"
"KB-20260324-0058","P2-REX-0015","knowledge-base/entries/first-batch-drafts/KB-20260324-0058.md","reviewed","20260324质量复核已完成：title消歧义（模板版）；全项修订"
"KB-20260324-0059","P2-REX-0016","knowledge-base/entries/first-batch-drafts/KB-20260324-0059.md","reviewed","20260324质量复核已完成：全项修订"
"KB-20260324-0060","P2-REX-0017","knowledge-base/entries/first-batch-drafts/KB-20260324-0060.md","reviewed","20260324质量复核已完成：全项修订"
