"task_id","draft_id","material_id","knowledge_category","audience","candidate_question","source_path","conversion_path","rule_title","trigger_condition","eligibility","required_materials","process_steps","time_limits","exceptions","evidence_quote","status","reviewer","notes","review_result"
"P1-REX-0025","REX-20260324-0060","MAT-20260324-0059","待定","新生","关于组织参加“宪法卫士”2025年行动计划的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025学宪法讲宪法活动/宪法卫士/关于组织参加“宪法卫士”2025年行动计划的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0059__关于组织参加“宪法卫士”2025年行动计划的通知.md","关于组织参加“宪法卫士”2025年行动计划的通知","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《关于组织参加“宪法卫士”2025年行动计划的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《关于组织参加“宪法卫士”2025年行动计划的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0026","REX-20260324-0061","MAT-20260324-0060","待定","新生","停保流程 涉及的办理规则与执行要求是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2026年大学生医保/停保流程.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0060__停保流程.md","停保流程","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《停保流程》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《停保流程》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0027","REX-20260324-0062","MAT-20260324-0061","待定","新生","关于做好2026元旦假期学生安全教育管理工作的通知(1) 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2026元旦假期离返校统计/关于做好2026元旦假期学生安全教育管理工作的通知(1).docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0061__关于做好2026元旦假期学生安全教育管理工作的通知(1).md","关于做好2026元旦假期学生安全教育管理工作的通知(1)","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《关于做好2026元旦假期学生安全教育管理工作的通知(1)》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《关于做好2026元旦假期学生安全教育管理工作的通知(1)》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0028","REX-20260324-0063","MAT-20260324-0062","待定","新生","医药管理学院2023级新生家长见面会流程稿 涉及的办理规则与执行要求是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/8.29 2025级家校交流会/医药管理学院2023级新生家长见面会流程稿.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0062__医药管理学院2023级新生家长见面会流程稿.md","医药管理学院2023级新生家长见面会流程稿","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《医药管理学院2023级新生家长见面会流程稿》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《医药管理学院2023级新生家长见面会流程稿》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0003","REX-20260324-0031","MAT-20260324-0030","奖助贷补","全体学生","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则 的评审或执行规则有哪些？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0030__附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.md","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","相关工作通知发布并进入办理周期时执行","适用于全体学生及对应管理人员","按《附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0004","REX-20260324-0032","MAT-20260324-0031","奖助贷补","全体学生","关于做好2024-2025学年本科生省政府奖学金评选工作的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0031__关于做好2024-2025学年本科生省政府奖学金评选工作的通知.md","关于做好2024-2025学年本科生省政府奖学金评选工作的通知","相关工作通知发布并进入办理周期时执行","适用于全体学生及对应管理人员","按《关于做好2024-2025学年本科生省政府奖学金评选工作的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《关于做好2024-2025学年本科生省政府奖学金评选工作的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0005","REX-20260324-0033","MAT-20260324-0032","奖助贷补","全体学生","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则 的评审或执行规则有哪些？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0032__附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.md","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","相关工作通知发布并进入办理周期时执行","适用于全体学生及对应管理人员","按《附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0006","REX-20260324-0034","MAT-20260324-0033","奖助贷补","全体学生","关于做好2024-2025学年本科生国家奖学金评选工作的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/关于做好2024-2025学年本科生国家奖学金评选工作的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0033__关于做好2024-2025学年本科生国家奖学金评选工作的通知.md","关于做好2024-2025学年本科生国家奖学金评选工作的通知","相关工作通知发布并进入办理周期时执行","适用于全体学生及对应管理人员","按《关于做好2024-2025学年本科生国家奖学金评选工作的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《关于做好2024-2025学年本科生国家奖学金评选工作的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0007","REX-20260324-0035","MAT-20260324-0034","奖助贷补","全体学生","2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年励志奖学金评审通知/2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0034__2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知.md","2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知","相关工作通知发布并进入办理周期时执行","适用于全体学生及对应管理人员","按《2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0008","REX-20260324-0036","MAT-20260324-0035","奖助贷补","全体学生","励志奖学金审核要点 的评审或执行规则有哪些？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年励志奖学金评审通知/励志奖学金审核要点.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0035__励志奖学金审核要点.md","励志奖学金审核要点","相关工作通知发布并进入办理周期时执行","适用于全体学生及对应管理人员","按《励志奖学金审核要点》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《励志奖学金审核要点》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0009","REX-20260324-0037","MAT-20260324-0036","奖助贷补","全体学生","附件3：（     学院）国家助学金申请表 应如何填写、提交与归档？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件3：（     学院）国家助学金申请表.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0036__附件3：（     学院）国家助学金申请表.md","附件3：（     学院）国家助学金申请表","学生提交申请或学院收取材料时执行","适用于全体学生及对应管理人员","对应表单原件或电子版+身份证明信息+学院要求附件材料","下载或领取表单按字段规范填写并签字提交至学院审核完成归档备案","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《附件3：（     学院）国家助学金申请表》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0010","REX-20260324-0038","MAT-20260324-0037","奖助贷补","全体学生","附件4：本专科生国家助学金实施细则 的评审或执行规则有哪些？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件4：本专科生国家助学金实施细则.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0037__附件4：本专科生国家助学金实施细则.md","附件4：本专科生国家助学金实施细则","相关工作通知发布并进入办理周期时执行","适用于全体学生及对应管理人员","按《附件4：本专科生国家助学金实施细则》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《附件4：本专科生国家助学金实施细则》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0011","REX-20260324-0039","MAT-20260324-0038","奖助贷补","全体学生","关于做好2024-2025学年本科生国家助学金评选工作的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0038__关于做好2024-2025学年本科生国家助学金评选工作的通知.md","关于做好2024-2025学年本科生国家助学金评选工作的通知","相关工作通知发布并进入办理周期时执行","适用于全体学生及对应管理人员","按《关于做好2024-2025学年本科生国家助学金评选工作的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《关于做好2024-2025学年本科生国家助学金评选工作的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0012","REX-20260324-0040","MAT-20260324-0039","奖助贷补","学生","附件2：一网通办系统学生申请操作说明 的标准操作步骤和注意事项是什么？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/附件2：一网通办系统学生申请操作说明.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0039__附件2：一网通办系统学生申请操作说明.md","附件2：一网通办系统学生申请操作说明","系统办理或流程执行环节启动时执行","适用于学生及对应管理人员","按《附件2：一网通办系统学生申请操作说明》要求准备申请信息、证明材料与系统账号信息","登录系统并核验基础信息按页面指引逐步填报或审批提交后确认状态按要求留存截图或纸质材料","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《附件2：一网通办系统学生申请操作说明》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0013","REX-20260324-0041","MAT-20260324-0040","奖助贷补","学生","附件2：一网通办系统学生申请操作说明 的标准操作步骤和注意事项是什么？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件2：一网通办系统学生申请操作说明.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0040__附件2：一网通办系统学生申请操作说明.md","附件2：一网通办系统学生申请操作说明","系统办理或流程执行环节启动时执行","适用于学生及对应管理人员","按《附件2：一网通办系统学生申请操作说明》要求准备申请信息、证明材料与系统账号信息","登录系统并核验基础信息按页面指引逐步填报或审批提交后确认状态按要求留存截图或纸质材料","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《附件2：一网通办系统学生申请操作说明》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0014","REX-20260324-0042","MAT-20260324-0041","奖助贷补","全体学生","关于开展2025-2026学年家庭经济困难认定的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/关于开展2025-2026学年家庭经济困难认定的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0041__关于开展2025-2026学年家庭经济困难认定的通知.md","关于开展2025-2026学年家庭经济困难认定的通知","相关工作通知发布并进入办理周期时执行","适用于全体学生及对应管理人员","按《关于开展2025-2026学年家庭经济困难认定的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《关于开展2025-2026学年家庭经济困难认定的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0015","REX-20260324-0043","MAT-20260324-0042","奖助贷补","全体学生","学院、班级一网通办操作说明 的标准操作步骤和注意事项是什么？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/学院、班级一网通办操作说明.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0042__学院、班级一网通办操作说明.md","学院、班级一网通办操作说明","系统办理或流程执行环节启动时执行","适用于全体学生及对应管理人员","按《学院、班级一网通办操作说明》要求准备申请信息、证明材料与系统账号信息","登录系统并核验基础信息按页面指引逐步填报或审批提交后确认状态按要求留存截图或纸质材料","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《学院、班级一网通办操作说明》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0016","REX-20260324-0044","MAT-20260324-0043","奖助贷补","全体学生","关于评选2024-2025学年校级综合奖学金的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025校级奖学金/关于评选2024-2025学年校级综合奖学金的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0043__关于评选2024-2025学年校级综合奖学金的通知.md","关于评选2024-2025学年校级综合奖学金的通知","相关工作通知发布并进入办理周期时执行","适用于全体学生及对应管理人员","按《关于评选2024-2025学年校级综合奖学金的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《关于评选2024-2025学年校级综合奖学金的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0017","REX-20260324-0051","MAT-20260324-0050","心理与测评","学生","医药管理学院2025-2026学年学生综合素质测评办法（暂行） 的评审或执行规则有哪些？","数据库部分材料/数据库部分材料/模板/医药管理学院2025-2026学年学生综合素质测评办法（暂行）.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0050__医药管理学院2025-2026学年学生综合素质测评办法（暂行）.md","医药管理学院2025-2026学年学生综合素质测评办法（暂行）","相关工作通知发布并进入办理周期时执行","适用于学生及对应管理人员","按《医药管理学院2025-2026学年学生综合素质测评办法（暂行）》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《医药管理学院2025-2026学年学生综合素质测评办法（暂行）》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
