"source_path","file_name","extension","title_guess","knowledge_category","value_level","timeliness","processing_action"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/1.12HRU复盘会议方案.docx","1.12HRU复盘会议方案.docx",".docx","1.12HRU复盘会议方案","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/1.7医药管理学院召开专题会议  传达校（院）安全工作会议精神2.docx","1.7医药管理学院召开专题会议  传达校（院）安全工作会议精神2.docx",".docx","1.7医药管理学院召开专题会议  传达校（院）安全工作会议精神2","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2024-2025学年校级优秀评选/附件1：山东第一医科大学（山东省医学科学院）学生先进个人和先进集体评选办法.pdf","附件1：山东第一医科大学（山东省医学科学院）学生先进个人和先进集体评选办法.pdf",".pdf","附件1：山东第一医科大学（山东省医学科学院）学生先进个人和先进集体评选办法","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2024-2025学年校级优秀评选/关于评选2024-2025学年校级优秀学生等荣誉称号的通知(1).pdf","关于评选2024-2025学年校级优秀学生等荣誉称号的通知(1).pdf",".pdf","关于评选2024-2025学年校级优秀学生等荣誉称号的通知(1)","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025国庆、中秋假期学生安全教育管理工作/关于做好2025年国庆节、中秋节假期学生安全教育管理工作的通知.pdf","关于做好2025年国庆节、中秋节假期学生安全教育管理工作的通知.pdf",".pdf","关于做好2025年国庆节、中秋节假期学生安全教育管理工作的通知","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年 院级优秀评选/关于开展2024-2025学年山东第一医科大学医药管理学院优秀学生等荣誉称号评选活动的通知.pdf","关于开展2024-2025学年山东第一医科大学医药管理学院优秀学生等荣誉称号评选活动的通知.pdf",".pdf","关于开展2024-2025学年山东第一医科大学医药管理学院优秀学生等荣誉称号评选活动的通知","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年 院级优秀评选/通知.docx","通知.docx",".docx","通知","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年“11.9消防宣传月”培训演练活动方案(1)(1).docx","2025年“11.9消防宣传月”培训演练活动方案(1)(1).docx",".docx","2025年“11.9消防宣传月”培训演练活动方案(1)(1)","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年秋季学期泰安校区2024级、2025级学生体质健康测试通知材料/2025年度泰安校区2024级、2025级本科学生体质健康测试通知.doc","2025年度泰安校区2024级、2025级本科学生体质健康测试通知.doc",".doc","2025年度泰安校区2024级、2025级本科学生体质健康测试通知","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年秋季学期泰安校区2024级、2025级学生体质健康测试通知材料/附件4：各学院带队教师及志愿者信息表.doc","附件4：各学院带队教师及志愿者信息表.doc",".doc","附件4：各学院带队教师及志愿者信息表","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年秋季学期泰安校区2024级、2025级学生体质健康测试通知材料/附件5：体质健康测试承诺书.docx","附件5：体质健康测试承诺书.docx",".docx","附件5：体质健康测试承诺书","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年迎新工作材料汇编-校（院）.doc","2025年迎新工作材料汇编-校（院）.doc",".doc","2025年迎新工作材料汇编-校（院）","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025外研社比赛/2025 外研社校赛通知（总）.docx","2025 外研社校赛通知（总）.docx",".docx","2025 外研社校赛通知（总）","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025学平险/25级医药管理学院学平险购买情况-新.docx","25级医药管理学院学平险购买情况-新.docx",".docx","25级医药管理学院学平险购买情况-新","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025学平险/联系人.doc","联系人.doc",".doc","联系人","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025学平险/学平险倡议书阳光保险老生(1).pdf","学平险倡议书阳光保险老生(1).pdf",".pdf","学平险倡议书阳光保险老生(1)","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025学宪法讲宪法活动/比赛活动/附件：关于第十届全省学生学宪法讲宪法活动省级比赛的补充通知.pdf","附件：关于第十届全省学生学宪法讲宪法活动省级比赛的补充通知.pdf",".pdf","附件：关于第十届全省学生学宪法讲宪法活动省级比赛的补充通知","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025学宪法讲宪法活动/比赛活动/校（院）关于组织参加第十届全省学生“学宪法讲宪法”活动省级比赛的通知.docx","校（院）关于组织参加第十届全省学生“学宪法讲宪法”活动省级比赛的通知.docx",".docx","校（院）关于组织参加第十届全省学生“学宪法讲宪法”活动省级比赛的通知","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025学宪法讲宪法活动/宪法卫士/附加2操作指南.pdf","附加2操作指南.pdf",".pdf","附加2操作指南","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025学宪法讲宪法活动/宪法卫士/关于组织参加“宪法卫士”2025年行动计划的通知.docx","关于组织参加“宪法卫士”2025年行动计划的通知.docx",".docx","关于组织参加“宪法卫士”2025年行动计划的通知","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2026年1月学院巡考安排/巡考分组.doc","巡考分组.doc",".doc","巡考分组","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2026年大学生医保/济南医保停保流程.pdf","济南医保停保流程.pdf",".pdf","济南医保停保流程","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2026年大学生医保/弃保声明.docx","弃保声明.docx",".docx","弃保声明","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2026年大学生医保/停保流程.docx","停保流程.docx",".docx","停保流程","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2026元旦假期离返校统计/关于做好2026元旦假期学生安全教育管理工作的通知(1).docx","关于做好2026元旦假期学生安全教育管理工作的通知(1).docx",".docx","关于做好2026元旦假期学生安全教育管理工作的通知(1)","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/8.25 2025级新生迎新计划（医药管理学院）.docx","8.25 2025级新生迎新计划（医药管理学院）.docx",".docx","8.25 2025级新生迎新计划（医药管理学院）","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/8.29 2025级家校交流会/新生家长见面会 书记讲话.docx","新生家长见面会 书记讲话.docx",".docx","新生家长见面会 书记讲话","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/8.29 2025级家校交流会/新生家长见面会 院长讲话.doc","新生家长见面会 院长讲话.doc",".doc","新生家长见面会 院长讲话","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/8.29 2025级家校交流会/新生见面会 辅导员发言稿.docx","新生见面会 辅导员发言稿.docx",".docx","新生见面会 辅导员发言稿","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/8.29 2025级家校交流会/医药管理学院2023级新生家长见面会流程稿.docx","医药管理学院2023级新生家长见面会流程稿.docx",".docx","医药管理学院2023级新生家长见面会流程稿","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.17关于泰安校区学生人脸采集的通知.pdf","9.17关于泰安校区学生人脸采集的通知.pdf",".pdf","9.17关于泰安校区学生人脸采集的通知","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.22 班委会大学班委职位及职责明细.docx","9.22 班委会大学班委职位及职责明细.docx",".docx","9.22 班委会大学班委职位及职责明细","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.26文明宿舍评比/附件1：宿舍评分标准.docx","附件1：宿舍评分标准.docx",".docx","附件1：宿舍评分标准","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.26文明宿舍评比/山东第一医科大学（山东省医学科学院）关于表彰2025年度“文明宿舍”的通报.docx","山东第一医科大学（山东省医学科学院）关于表彰2025年度“文明宿舍”的通报.docx",".docx","山东第一医科大学（山东省医学科学院）关于表彰2025年度“文明宿舍”的通报","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.3 新生见面会暨开学第一课/2025届新生见面会暨开学第一课议程.docx","2025届新生见面会暨开学第一课议程.docx",".docx","2025届新生见面会暨开学第一课议程","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.3 新生见面会暨开学第一课/新生开学典礼发言--张长丽.docx","新生开学典礼发言--张长丽.docx",".docx","新生开学典礼发言--张长丽","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.3 新生见面会暨开学第一课/医药管理学院2025级新生见面会暨开学第一课主持词（+每个人分管工作介绍）.docx","医药管理学院2025级新生见面会暨开学第一课主持词（+每个人分管工作介绍）.docx",".docx","医药管理学院2025级新生见面会暨开学第一课主持词（+每个人分管工作介绍）","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.3 新生见面会暨开学第一课/钟宁院长迎新寄语.docx","钟宁院长迎新寄语.docx",".docx","钟宁院长迎新寄语","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.5一站式社区/1_2025“一站式”学生社区建设的通知 (2).doc","1_2025“一站式”学生社区建设的通知 (2).doc",".doc","1_2025“一站式”学生社区建设的通知 (2)","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/HRU大赛2025/1（开幕式）钟宁：主持词.docx","1（开幕式）钟宁：主持词.docx",".docx","1（开幕式）钟宁：主持词","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/HRU大赛2025/2（开幕式）刘校长致辞.docx","2（开幕式）刘校长致辞.docx",".docx","2（开幕式）刘校长致辞","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/HRU大赛2025/HRU10山东赛区会务手册0929(2).pdf","HRU10山东赛区会务手册0929(2).pdf",".pdf","HRU10山东赛区会务手册0929(2)","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/HRU大赛2025/HRU10山东赛区会务手册0929(6).pdf","HRU10山东赛区会务手册0929(6).pdf",".pdf","HRU10山东赛区会务手册0929(6)","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/HRU大赛2025/因人力资源大赛各高校入校名单.docx","因人力资源大赛各高校入校名单.docx",".docx","因人力资源大赛各高校入校名单","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/关于举行2025级新生开学典礼的通知.pdf","关于举行2025级新生开学典礼的通知.pdf",".pdf","关于举行2025级新生开学典礼的通知","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/模板/2026年度国家考试录用公务员报名推荐表.（打印）.doc1.doc","2026年度国家考试录用公务员报名推荐表.（打印）.doc1.doc",".doc","2026年度国家考试录用公务员报名推荐表.（打印）.doc1","待定","B","待确认","提炼规则后入库"
"数据库部分材料/数据库部分材料/模板/出国留学英文证明模板终稿/1.GPA计算证明英文.docx","1.GPA计算证明英文.docx",".docx","1.GPA计算证明英文","待定","B","待确认","提炼规则后入库"
"数据库部分材料/数据库部分材料/模板/出国留学英文证明模板终稿/2.个人均分证明.docx","2.个人均分证明.docx",".docx","2.个人均分证明","待定","B","待确认","提炼规则后入库"
"数据库部分材料/数据库部分材料/模板/出国留学英文证明模板终稿/3.学校更名英文证明模板.docx","3.学校更名英文证明模板.docx",".docx","3.学校更名英文证明模板","待定","B","待确认","提炼规则后入库"
"数据库部分材料/数据库部分材料/模板/出国留学英文证明模板终稿/4等级证明.docx","4等级证明.docx",".docx","4等级证明","待定","B","待确认","提炼规则后入库"
"数据库部分材料/数据库部分材料/模板/出国留学英文证明模板终稿/5学历证书证明模板.doc","5学历证书证明模板.doc",".doc","5学历证书证明模板","待定","B","待确认","提炼规则后入库"
"数据库部分材料/数据库部分材料/模板/出国留学英文证明模板终稿/6学士学位证明模板.doc","6学士学位证明模板.doc",".doc","6学士学位证明模板","待定","B","待确认","提炼规则后入库"
"数据库部分材料/数据库部分材料/模板/出国留学英文证明模板终稿/7成绩单模板.docx","7成绩单模板.docx",".docx","7成绩单模板","待定","B","待确认","提炼规则后入库"
"数据库部分材料/数据库部分材料/模板/出国留学英文证明模板终稿/8证明通用模板.docx","8证明通用模板.docx",".docx","8证明通用模板","待定","B","待确认","提炼规则后入库"
"数据库部分材料/数据库部分材料/模板/党员、学生干部身份证明.doc","党员、学生干部身份证明.doc",".doc","党员、学生干部身份证明","待定","B","待确认","提炼规则后入库"
"数据库部分材料/数据库部分材料/模板/体侧联络人.docx","体侧联络人.docx",".docx","体侧联络人","待定","B","待确认","提炼规则后入库"
"数据库部分材料/数据库部分材料/模板/医药管理学院制度汇编（2023913定稿）.doc","医药管理学院制度汇编（2023913定稿）.doc",".doc","医药管理学院制度汇编（2023913定稿）","待定","B","现行","提炼规则后入库"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件3：（     学院）国家助学金申请表.docx","附件3：（     学院）国家助学金申请表.docx",".docx","附件3：（     学院）国家助学金申请表","奖助贷补","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件4：本专科生国家助学金实施细则.docx","附件4：本专科生国家助学金实施细则.docx",".docx","附件4：本专科生国家助学金实施细则","奖助贷补","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","关于做好2024-2025学年本科生国家助学金评选工作的通知.docx",".docx","关于做好2024-2025学年本科生国家助学金评选工作的通知","奖助贷补","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1).doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1).doc",".doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1)","奖助贷补","B","待确认","提炼规则后入库"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件1：山东省高等教育资助申请表.doc","附件1：山东省高等教育资助申请表.doc",".doc","附件1：山东省高等教育资助申请表","奖助贷补","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明.docx",".docx","附件2：一网通办系统学生申请操作说明","奖助贷补","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件3：个人承诺书、社会救助家庭经济状况核对授权.pdf","附件3：个人承诺书、社会救助家庭经济状况核对授权.pdf",".pdf","附件3：个人承诺书、社会救助家庭经济状况核对授权","奖助贷补","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）.doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）.doc",".doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）","奖助贷补","B","待确认","提炼规则后入库"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/贫困认定弃权声明 (2).docx","贫困认定弃权声明 (2).docx",".docx","贫困认定弃权声明 (2)","奖助贷补","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/关于开展2025-2026学年家庭经济困难认定的通知.docx","关于开展2025-2026学年家庭经济困难认定的通知.docx",".docx","关于开展2025-2026学年家庭经济困难认定的通知","奖助贷补","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/贫困认定弃权声明 (2).docx","贫困认定弃权声明 (2).docx",".docx","贫困认定弃权声明 (2)","奖助贷补","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/学院、班级一网通办操作说明.docx","学院、班级一网通办操作说明.docx",".docx","学院、班级一网通办操作说明","奖助贷补","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.11 2025年秋季学期勤工助学通知/附件2山东第一医科大学学生勤工助学申请表.doc","附件2山东第一医科大学学生勤工助学申请表.doc",".doc","附件2山东第一医科大学学生勤工助学申请表","奖助贷补","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx",".docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","奖助贷补","B","待确认","提炼规则后入库"
"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx","关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx",".docx","关于做好2024-2025学年本科生省政府奖学金评选工作的通知","奖助贷补","B","待确认","提炼规则后入库"
