"draft_id","material_id","candidate_question","knowledge_category","audience","priority","source_path","conversion_path","processing_action","extract_scope","extraction_status","needs_manual_review","notes"
"REX-20260323-0001","MAT-20260323-0001","新生入学后学籍注册与信息核对的标准流程是什么？","入学与学籍","全体学生","P0","数据库部分材料/数据库部分材料/学生手册.md","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0001__学生手册.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p0","否","来自学生手册拆分问题"
"REX-20260323-0002","MAT-20260323-0001","学生申请奖助学金时需要满足哪些条件并准备哪些材料？","奖助贷补","全体学生","P0","数据库部分材料/数据库部分材料/学生手册.md","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0001__学生手册.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p0","否","来自学生手册拆分问题"
"REX-20260323-0006","MAT-20260323-0002","新生如何核对教育在线中的学籍信息与班级实际情况？","入学与学籍","新生","P0","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件1：教育在线学生信息与班级实际情况核对方法.doc","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0002__附件1：教育在线学生信息与班级实际情况核对方法.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p0","否","DOC重试已成功"
"REX-20260323-0007","MAT-20260323-0003","学信网学籍注册信息应如何核对，常见错误怎么处理？","入学与学籍","新生","P0","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件5：学信网学籍注册信息核对方法指南.doc","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0003__附件5：学信网学籍注册信息核对方法指南.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p0","否","DOC重试已成功"
"REX-20260323-0008","MAT-20260323-0004","2025级新生入学资格复查要准备什么、按什么流程办理？","入学与学籍","新生","P0","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.10 2025级新生入学资格复查/通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0004__通知.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p0","否",""
"REX-20260323-0009","MAT-20260323-0005","家庭经济困难认定与助学金评审的时间和条件是什么？","奖助贷补","新生","P0","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0005__通知.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p0","否",""
"REX-20260323-0010","MAT-20260323-0006","助学金评审在一网通办系统里如何操作？","奖助贷补","学生","P0","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/助学金评审一网通办操作说明.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0006__助学金评审一网通办操作说明.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p0","否",""
"REX-20260323-0011","MAT-20260323-0008","秋季学期勤工助学岗位申报有哪些流程和节点？","奖助贷补","全体学生","P0","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.11 2025年秋季学期勤工助学通知/202503勤工助学岗位申报通知0905.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0008__202503勤工助学岗位申报通知0905.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p0","否",""
"REX-20260323-0012","MAT-20260323-0009","新生心理健康测评的时间安排和测评要求是什么？","心理与测评","新生","P0","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/1.【通知】2025年中国大学生心理健康测评系统测评工作通知.pdf","knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0009","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p0","否",""
"REX-20260323-0013","MAT-20260323-0010","学生端心理测评系统从登录到提交应如何操作？","心理与测评","学生","P0","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/3.【学生】中国大学生心理健康测评系统操作手册.pdf","knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0010","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p0","否",""
"REX-20260323-0014","MAT-20260323-0011","心理测评平台常见问题有哪些、分别如何解决？","心理与测评","学生","P0","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/4.心理测评平台常见问题.pdf","knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0011","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p0","否",""
"REX-20260323-0015","MAT-20260323-0012","校园卡丢失后如何补卡、多久可以恢复使用？","证件与校园服务","全体学生","P0","数据库部分材料/数据库部分材料/模板/校园卡补卡指南.pdf","knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0012","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p0","否",""
"REX-20260323-0016","MAT-20260323-0013","第二课堂成绩单实施办法中的学分与认定规则是什么？","竞赛与第二课堂","全体学生","P0","数据库部分材料/数据库部分材料/模板/山东第一医科大学（山东省医学科学院）“第二课堂成绩单”实施办法.pdf","knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0013","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p0","否",""
"REX-20260323-0017","MAT-20260323-0014","第二课堂录入流程中学生端和管理员端分别怎么操作？","竞赛与第二课堂","学生","P0","数据库部分材料/数据库部分材料/模板/第二课堂激活/第二课堂录入操作流程.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0014__第二课堂录入操作流程.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p0","是","时效待确认需复核"
"REX-20260323-0018","MAT-20260323-0015","毕业离校手续有哪些环节，办理顺序是什么？","就业与毕业","毕业生","P0","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/2025届毕业离校通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0015__2025届毕业离校通知.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p0","否",""
"REX-20260323-0021","MAT-20260323-0020","毕业生档案去向核对应注意哪些信息和时间节点？","就业与毕业","毕业生","P0","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/档案去向核对/档案信息核对确认 注意事项.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0020__档案信息核对确认 注意事项.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p0","否",""
"REX-20260323-0003","MAT-20260323-0001","心理测评的参与对象、时间节点和异常处理方式是什么？","心理与测评","全体学生","P1","数据库部分材料/数据库部分材料/学生手册.md","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0001__学生手册.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p1","否","来自学生手册8.14与8.16章节"
"REX-20260323-0004","MAT-20260323-0001","校园卡或学生证补办的办理渠道、时限和注意事项是什么？","证件与校园服务","全体学生","P1","数据库部分材料/数据库部分材料/学生手册.md","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0001__学生手册.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p1","否","来自学生手册8.13章节"
"REX-20260323-0005","MAT-20260323-0001","第二课堂成绩单相关认定、录入与查询规则有哪些？","竞赛与第二课堂","全体学生","P1","数据库部分材料/数据库部分材料/学生手册.md","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0001__学生手册.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p1","否","来自学生手册10.6.11章节"
"REX-20260323-0019","MAT-20260323-0018","毕业证和学位证代领需要满足哪些条件并提交哪些材料？","就业与毕业","毕业生","P1","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/毕业证和学位证代领委托书.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0018__毕业证和学位证代领委托书.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p1","否","模板材料仅提炼稳定规则"
"REX-20260323-0020","MAT-20260323-0019","毕业生应征入伍可享受哪些政策，办理路径是什么？","就业与毕业","毕业生","P1","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/征兵政策/毕业生应征入伍政策解读.pdf","knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0019","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p1","是","政策数值需按年度公告复核"
"REX-20260324-0024","MAT-20260324-0023","附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案） 应如何填写、提交与归档？","入学与学籍","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.10 2025级新生入学资格复查/附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0023__附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0025","MAT-20260324-0024","附件3：（     学院）国家助学金申请表 应如何填写、提交与归档？","奖助贷补","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件3：（     学院）国家助学金申请表.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0024__附件3：（     学院）国家助学金申请表.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0026","MAT-20260324-0025","附件4：本专科生国家助学金实施细则 的评审或执行规则有哪些？","奖助贷补","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件4：本专科生国家助学金实施细则.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0025__附件4：本专科生国家助学金实施细则.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0027","MAT-20260324-0026","关于做好2024-2025学年本科生国家助学金评选工作的通知 的办理条件、时间节点和执行流程是什么？","奖助贷补","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0026__关于做好2024-2025学年本科生国家助学金评选工作的通知.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0028","MAT-20260324-0027","附件2：一网通办系统学生申请操作说明 的标准操作步骤和注意事项是什么？","奖助贷补","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件2：一网通办系统学生申请操作说明.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0027__附件2：一网通办系统学生申请操作说明.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0029","MAT-20260324-0028","关于开展2025-2026学年家庭经济困难认定的通知 的办理条件、时间节点和执行流程是什么？","奖助贷补","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/关于开展2025-2026学年家庭经济困难认定的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0028__关于开展2025-2026学年家庭经济困难认定的通知.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0030","MAT-20260324-0029","学院、班级一网通办操作说明 的标准操作步骤和注意事项是什么？","奖助贷补","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/学院、班级一网通办操作说明.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0029__学院、班级一网通办操作说明.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0045","MAT-20260324-0044","毕业生登记表 应如何填写、提交与归档？","就业与毕业","毕业生","P1","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/毕业生登记表.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0044__毕业生登记表.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0046","MAT-20260324-0045","高校毕业生档案转递单功能操作手册 的标准操作步骤和注意事项是什么？","就业与毕业","毕业生","P1","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/档案去向核对/档案转递/高校毕业生档案转递单功能操作手册.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0045__高校毕业生档案转递单功能操作手册.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0047","MAT-20260324-0046","关于进一步做好离校前后校（院）2025届困难群体高校毕业生就业帮扶工作的通知 的办理条件、时间节点和执行流程是什么？","就业与毕业","毕业生","P1","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/就业活动通知/关于进一步做好离校前后校（院）2025届困难群体高校毕业生就业帮扶工作的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0046__关于进一步做好离校前后校（院）2025届困难群体高校毕业生就业帮扶工作的通知.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0048","MAT-20260324-0047","关于开展校（院）2025届毕业生就业“百日冲刺”行动的通知 的办理条件、时间节点和执行流程是什么？","就业与毕业","毕业生","P1","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/就业活动通知/关于开展校（院）2025届毕业生就业“百日冲刺”行动的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0047__关于开展校（院）2025届毕业生就业“百日冲刺”行动的通知.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
