"draft_id","material_id","candidate_question","knowledge_category","audience","priority","source_path","conversion_path","processing_action","extract_scope","extraction_status","needs_manual_review","notes"
"REX-20260324-0049","MAT-20260324-0048","关于开展校（院）2025年毕业生就业政策宣传月活动的通知 的办理条件、时间节点和执行流程是什么？","就业与毕业","毕业生","P1","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/就业活动通知/关于开展校（院）2025年毕业生就业政策宣传月活动的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0048__关于开展校（院）2025年毕业生就业政策宣传月活动的通知.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0050","MAT-20260324-0049","智慧团建团支部转出步骤 的标准操作步骤和注意事项是什么？","就业与毕业","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级毕业生团关系转出/智慧团建团支部转出步骤.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0049__智慧团建团支部转出步骤.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0053","MAT-20260324-0052","附件2：免予执行《国家学生体质健康标准》申请表 应如何填写、提交与归档？","事务申请与审批","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年秋季学期泰安校区2024级、2025级学生体质健康测试通知材料/附件2：免予执行《国家学生体质健康标准》申请表.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0052__附件2：免予执行《国家学生体质健康标准》申请表.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0054","MAT-20260324-0053","外媒采访报备 涉及的办理规则与执行要求是什么？","事务申请与审批","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/HRU大赛2025/外媒采访报备.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0053__外媒采访报备.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0056","MAT-20260324-0055","通知 的办理条件、时间节点和执行流程是什么？","奖助贷补","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年 院级优秀评选/通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0055__通知.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0057","MAT-20260324-0056","附件5：体质健康测试承诺书 应如何填写、提交与归档？","事务申请与审批","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年秋季学期泰安校区2024级、2025级学生体质健康测试通知材料/附件5：体质健康测试承诺书.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0056__附件5：体质健康测试承诺书.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0058","MAT-20260324-0057","2025 外研社校赛通知（总） 的办理条件、时间节点和执行流程是什么？","竞赛与第二课堂","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025外研社比赛/2025 外研社校赛通知（总）.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0057__2025 外研社校赛通知（总）.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0059","MAT-20260324-0058","校（院）关于组织参加第十届全省学生“学宪法讲宪法”活动省级比赛的通知 的办理条件、时间节点和执行流程是什么？","竞赛与第二课堂","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025学宪法讲宪法活动/比赛活动/校（院）关于组织参加第十届全省学生“学宪法讲宪法”活动省级比赛的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0058__校（院）关于组织参加第十届全省学生“学宪法讲宪法”活动省级比赛的通知.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0060","MAT-20260324-0059","关于组织参加“宪法卫士”2025年行动计划的通知 的办理条件、时间节点和执行流程是什么？","竞赛与第二课堂","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025学宪法讲宪法活动/宪法卫士/关于组织参加“宪法卫士”2025年行动计划的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0059__关于组织参加“宪法卫士”2025年行动计划的通知.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0061","MAT-20260324-0060","停保流程 涉及的办理规则与执行要求是什么？","证件与校园服务","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2026年大学生医保/停保流程.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0060__停保流程.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0062","MAT-20260324-0061","关于做好2026元旦假期学生安全教育管理工作的通知(1) 的办理条件、时间节点和执行流程是什么？","事务申请与审批","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2026元旦假期离返校统计/关于做好2026元旦假期学生安全教育管理工作的通知(1).docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0061__关于做好2026元旦假期学生安全教育管理工作的通知(1).md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260324-0063","MAT-20260324-0062","医药管理学院2023级新生家长见面会流程稿 涉及的办理规则与执行要求是什么？","入学与学籍","新生","P1","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/8.29 2025级家校交流会/医药管理学院2023级新生家长见面会流程稿.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0062__医药管理学院2023级新生家长见面会流程稿.md","可转知识","抽取条件、流程、材料、时限、注意事项","ready_p1","否","第二批扩量自动抽取"
"REX-20260323-0022","MAT-20260323-0021","助学金评审通知模板中哪些规则可沉淀为通用知识？","奖助贷补","全体学生","P2","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0021__通知.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","模板平行版本需与MAT-20260323-0005主参考互校"
"REX-20260323-0023","MAT-20260323-0022","一网通办助学金申请模板中的关键填写规则有哪些？","奖助贷补","学生","P2","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/助学金评审一网通办操作说明.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0022__助学金评审一网通办操作说明.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","模板平行版本需与MAT-20260323-0006主参考互校"
"REX-20260324-0031","MAT-20260324-0030","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则 的评审或执行规则有哪些？","奖助贷补","全体学生","P2","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0030__附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","第二批扩量自动抽取"
"REX-20260324-0032","MAT-20260324-0031","关于做好2024-2025学年本科生省政府奖学金评选工作的通知 的办理条件、时间节点和执行流程是什么？","奖助贷补","全体学生","P2","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0031__关于做好2024-2025学年本科生省政府奖学金评选工作的通知.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","第二批扩量自动抽取"
"REX-20260324-0033","MAT-20260324-0032","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则 的评审或执行规则有哪些？","奖助贷补","全体学生","P2","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0032__附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","第二批扩量自动抽取"
"REX-20260324-0034","MAT-20260324-0033","关于做好2024-2025学年本科生国家奖学金评选工作的通知 的办理条件、时间节点和执行流程是什么？","奖助贷补","全体学生","P2","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/关于做好2024-2025学年本科生国家奖学金评选工作的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0033__关于做好2024-2025学年本科生国家奖学金评选工作的通知.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","第二批扩量自动抽取"
"REX-20260324-0035","MAT-20260324-0034","2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知 的办理条件、时间节点和执行流程是什么？","奖助贷补","全体学生","P2","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年励志奖学金评审通知/2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0034__2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","第二批扩量自动抽取"
"REX-20260324-0036","MAT-20260324-0035","励志奖学金审核要点 的评审或执行规则有哪些？","奖助贷补","全体学生","P2","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年励志奖学金评审通知/励志奖学金审核要点.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0035__励志奖学金审核要点.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","第二批扩量自动抽取"
"REX-20260324-0037","MAT-20260324-0036","附件3：（     学院）国家助学金申请表 应如何填写、提交与归档？","奖助贷补","全体学生","P2","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件3：（     学院）国家助学金申请表.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0036__附件3：（     学院）国家助学金申请表.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","第二批扩量自动抽取"
"REX-20260324-0038","MAT-20260324-0037","附件4：本专科生国家助学金实施细则 的评审或执行规则有哪些？","奖助贷补","全体学生","P2","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件4：本专科生国家助学金实施细则.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0037__附件4：本专科生国家助学金实施细则.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","第二批扩量自动抽取"
"REX-20260324-0039","MAT-20260324-0038","关于做好2024-2025学年本科生国家助学金评选工作的通知 的办理条件、时间节点和执行流程是什么？","奖助贷补","全体学生","P2","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0038__关于做好2024-2025学年本科生国家助学金评选工作的通知.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","第二批扩量自动抽取"
"REX-20260324-0040","MAT-20260324-0039","附件2：一网通办系统学生申请操作说明 的标准操作步骤和注意事项是什么？","奖助贷补","学生","P2","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/附件2：一网通办系统学生申请操作说明.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0039__附件2：一网通办系统学生申请操作说明.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","第二批扩量自动抽取"
"REX-20260324-0041","MAT-20260324-0040","附件2：一网通办系统学生申请操作说明 的标准操作步骤和注意事项是什么？","奖助贷补","学生","P2","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件2：一网通办系统学生申请操作说明.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0040__附件2：一网通办系统学生申请操作说明.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","第二批扩量自动抽取"
"REX-20260324-0042","MAT-20260324-0041","关于开展2025-2026学年家庭经济困难认定的通知 的办理条件、时间节点和执行流程是什么？","奖助贷补","全体学生","P2","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/关于开展2025-2026学年家庭经济困难认定的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0041__关于开展2025-2026学年家庭经济困难认定的通知.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","第二批扩量自动抽取"
"REX-20260324-0043","MAT-20260324-0042","学院、班级一网通办操作说明 的标准操作步骤和注意事项是什么？","奖助贷补","全体学生","P2","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/学院、班级一网通办操作说明.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0042__学院、班级一网通办操作说明.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","第二批扩量自动抽取"
"REX-20260324-0044","MAT-20260324-0043","关于评选2024-2025学年校级综合奖学金的通知 的办理条件、时间节点和执行流程是什么？","奖助贷补","全体学生","P2","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025校级奖学金/关于评选2024-2025学年校级综合奖学金的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0043__关于评选2024-2025学年校级综合奖学金的通知.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","第二批扩量自动抽取"
"REX-20260324-0051","MAT-20260324-0050","医药管理学院2025-2026学年学生综合素质测评办法（暂行） 的评审或执行规则有哪些？","心理与测评","学生","P2","数据库部分材料/数据库部分材料/模板/医药管理学院2025-2026学年学生综合素质测评办法（暂行）.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0050__医药管理学院2025-2026学年学生综合素质测评办法（暂行）.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","第二批扩量自动抽取"
"REX-20260324-0052","MAT-20260324-0051","学生考试结束申请留校住宿家长知情同意书 应如何填写、提交与归档？","证件与校园服务","学生","P2","数据库部分材料/数据库部分材料/模板/学生考试结束申请留校住宿家长知情同意书.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0051__学生考试结束申请留校住宿家长知情同意书.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","涉及承诺/申请文书口径，需学院人工复核后发布"
"REX-20260324-0055","MAT-20260324-0054","入团申请书的要求 涉及的办理规则与执行要求是什么？","事务申请与审批","全体学生","P2","数据库部分材料/数据库部分材料/模板/入团申请书的要求.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0054__入团申请书的要求.md","提炼规则后入库","仅抽取稳定规则，模板正文保留附件","ready_p2","是","涉及承诺/申请文书口径，需学院人工复核后发布"
