task_id,draft_id,material_id,knowledge_category,audience,candidate_question,source_path,conversion_path,rule_title,trigger_condition,eligibility,required_materials,process_steps,time_limits,exceptions,evidence_quote,status,reviewer,notes
P0-REX-0001,REX-20260323-0001,MAT-20260323-0001,入学与学籍,全体学生,新生入学后学籍注册与信息核对的标准流程是什么？,数据库部分材料/数据库部分材料/学生手册.md,knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0001__学生手册.md,新生入学报到与学籍注册规则,新生录取后按学校报到安排办理入学,按国家招生规定录取且在规定时间报到的新生,录取通知书原件+准考证原件+学校规定证明材料,按报到须知到校→进行入学资格初审→审查合格办理入学手续并注册学籍→学校办理学信网电子注册→每学期按规定完成学籍注册,未按期报到需在规定入学时间前5个工作日请假且请假一般不超过5个工作日；每学年第一学期开学后1个月内完成在校生学年电子注册；暂缓注册逾期2周不注册按放弃学籍处理,证明材料与本人情况不符取消入学资格；不可抗力情形经核实可补办入学手续,按学校《报到须知》持录取通知书和准考证办理入学手续且审查合格予以注册学籍；未请假或请假逾期视为放弃入学资格,extracted,,来自学生手册拆分问题
P0-REX-0002,REX-20260323-0002,MAT-20260323-0001,奖助贷补,全体学生,学生申请奖助学金时需要满足哪些条件并准备哪些材料？,数据库部分材料/数据库部分材料/学生手册.md,knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0001__学生手册.md,本科生励志奖学金申请评审规则,秋季学期奖助学金评审通知发布后启动,全日制二年级及以上本科生且已认定家庭经济困难且符合成绩与纪律要求,奖助学金申请信息汇总表+成绩单排名材料+学院公示材料,学生申请→班级评议→辅导员初审→学院评审委员会评议排序并公示≥2天→校级差额评审并公示5个工作日→报省资助中心审核,10月前完成学院汇总报送；励志奖学金发放时间为秋季学期预计12月底,同一学年国家奖学金省政府奖学金国家励志奖学金省政府励志奖学金互斥且2025级不参评,评定对象为二年级及以上本科生且家庭经济困难学生可申请；学院内公示不少于2天校级公示5个工作日,extracted,,来自学生手册拆分问题
P0-REX-0003,REX-20260323-0006,MAT-20260323-0002,入学与学籍,新生,新生如何核对教育在线中的学籍信息与班级实际情况？,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件1：教育在线学生信息与班级实际情况核对方法.doc,knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0002__附件1：教育在线学生信息与班级实际情况核对方法.md,教育在线学籍名单核对流程,学院开展新生学籍数据核验时执行,学院学籍管理员账号可登录教育在线并按年级专业班级筛选数据,教育在线系统账号+班级实际在校生名单+不在校生状态信息,学籍管理员登录教育在线统计分析→按年级专业班级先核对有学籍在校生→再核对有学籍不在校生→点开学生姓名查看当前状态及异动类型→比对不在校原因与实际是否一致,按新生学籍注册阶段组织完成并逐班逐专业执行核对,存在状态不一致或异动信息不符时需进一步查明原因并修正名单,先核对有学籍在校生再核对有学籍不在校生并查看学生当前状态及异动类型是否与实际一致,extracted,,DOC重试已成功
P0-REX-0004,REX-20260323-0007,MAT-20260323-0003,入学与学籍,新生,学信网学籍注册信息应如何核对，常见错误怎么处理？,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件5：学信网学籍注册信息核对方法指南.doc,knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0003__附件5：学信网学籍注册信息核对方法指南.md,学信网学籍注册核验与身份证号重复处理,新生完成学信档案注册与学籍查询时执行,能够访问学信网并按实名信息注册账号的新生,实名注册信息+本人手机号+必要时同班同学协助信息,进入学信网注册账号→登录后进入学籍页面确认注册成功且有学籍→如身份证号重复点击解决身份证号码重复问题→按四种方案任选其一提交→必要时由同班同学在收件箱确认协助后重新登录核验学籍,无固定截止时间但应在学籍注册核验阶段尽快完成,出现身份证号重复可通过平台提供四种方式处理且需同班同学协助时必须使用其已注册手机号信息,带星号项目为必填且需实名准确；身份证号重复可点解决身份证号码重复问题并由同班同学协助确认后完成,extracted,,DOC重试已成功
P0-REX-0005,REX-20260323-0008,MAT-20260323-0004,入学与学籍,新生,2025级新生入学资格复查要准备什么、按什么流程办理？,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.10 2025级新生入学资格复查/通知.docx,knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0004__通知.md,2025级新生入学资格审查与录取资格复查流程,新生报到后入学资格审查复查阶段启动,2025级本科新生及负责复查的学院工作人员,录取通知书+准考证+身份证+电子档案+纸质档案+必要资格证明材料,报到后进行图像采集和人像核验→学院至少2名老师逐一核对证件档案与本人信息→对异常信息立即核实身份→学院形成登记表与审查报告并报送→复核未通过不予报到和学籍电子注册,入学资格审查与录取资格复查时间为8月29日至9月13日；各类名单和报告9月13日前报送,关键信息不一致或相貌差异大需立即核查；复核未通过不予报到和学籍电子注册,新生报到时至少2名老师逐一对照核查且复核未通过的不予报到和学籍电子注册,extracted,,
P0-REX-0006,REX-20260323-0009,MAT-20260323-0005,奖助贷补,新生,家庭经济困难认定与助学金评审的时间和条件是什么？,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/通知.docx,knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0005__通知.md,家庭经济困难认定与助学金评审时间节点,秋季学期困难认定和国家助学金评审启动时执行,需要参与困难认定和助学金评审的在校学生与学院评审人员,学生线上申请信息+学院班级审核账号+评审报告材料,学生通过PC端或爱山东APP提交申请→班级学院在一网通办平台逐级审核→按程序完成评议并提交书面和电子材料,两项工作均需10月24日前完成平台审核并于10月27日前提交书面和电子版材料,评审需防止隐私泄露和结果失实且必须由辅导员靠前指导不得交由学生干部独立完成,两项工作均需在10月24日前完成平台审核并在10月27日前提交书面和电子版材料,extracted,,
P0-REX-0007,REX-20260323-0010,MAT-20260323-0006,奖助贷补,学生,助学金评审在一网通办系统里如何操作？,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/助学金评审一网通办操作说明.docx,knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0006__助学金评审一网通办操作说明.md,一网通办国家助学金评审操作流程,学校启动助学金评审系统录入时执行,院系账号班级账号及已完成困难等级认定的学生,班级评议报告+院系评审报告+系统内学生困难认定数据,院系先维护各班名额→班级账号进行资助评议并上传评议报告后提交→院系账号审核班级结果并必要时调整档次→院系上传评审报告并一次性提交,班级和院系评议结果均只能提交一次且提交后不可修改,院系设置名额不得超过学校分配总名额且未生成最终困难档次前不得提交评议,班级只能提交一次资助评议结果；院系只能提交一次资助认定结果；提交后无法补提,extracted,,
P0-REX-0008,REX-20260323-0011,MAT-20260323-0008,奖助贷补,全体学生,秋季学期勤工助学岗位申报有哪些流程和节点？,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.11 2025年秋季学期勤工助学通知/202503勤工助学岗位申报通知0905.docx,knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0008__202503勤工助学岗位申报通知0905.md,校内勤工助学岗位申报与管理流程,秋季学期校内勤工助学岗位设置申报阶段,有岗位需求单位及申请上岗学生且不影响学生正常学习,岗位申请表+学生申请表+学生申请汇总表+考核表,单位按学期岗或短期岗规则申报设岗→学生申请并经辅导员学院审核→用工单位按岗位择优录用→按月或按任务完成后提交考核并发放报酬,学期岗每学期初申报且原则每月约30工时最高40工时；短期岗提前3天申请；寒暑假岗位提前1到2周申报；9月19日前报岗位与汇总表；9月30日前完成学工平台信息更新,未经审批自行设岗的工资由用工单位自付且学生每周原则不超过8小时每月不超过40小时,学期岗每学期初申请短期岗提前3天申请并要求9月19日前报送材料9月30日前完成系统更新,extracted,,
P0-REX-0009,REX-20260323-0012,MAT-20260323-0009,心理与测评,新生,新生心理健康测评的时间安排和测评要求是什么？,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/1.【通知】2025年中国大学生心理健康测评系统测评工作通知.pdf,knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0009,2025级新生心理健康测评组织要求,教育部心理健康测评工作通知发布后执行,2025级新生及负责组织测评的数据管理人员,测评系统账号+学生名单+测评数据管理方案,按要求在中国大学生心理健康测评系统组织测评→完成学生导入和测评任务分配→开展测评并分析结果→按需进行测评数据上报,测评时间为即日起至10月31日且对象为2025级新生,可按免费自愿原则使用系统；使用其他系统的高校需在10月31日前按要求上报数据,测评时间即日起到10月31日测评对象为2025级新生并要求防止信息泄露落实数据保密,extracted,,
P0-REX-0010,REX-20260323-0013,MAT-20260323-0010,心理与测评,学生,学生端心理测评系统从登录到提交应如何操作？,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/3.【学生】中国大学生心理健康测评系统操作手册.pdf,knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0010,学生端心理测评登录与提交流程,学生接到测评通知后进入系统测评时执行,手机号与学校导入系统信息一致且完成知情同意,手机号验证码+个人基础信息+知情同意,进入xinli.univs.cn或小程序登录→完善个人信息→阅读并勾选知情同意书→开始测评并完成96题→提交后查看完成提示,测评题目96道需全部作答后方可提交且中途退出可继续作答,手机号不一致会导致无法登录；需重新测评时按老师通知再次登录操作,输入手机号需与老师导入平台手机号一致且96道题全部作答方可提交测评,extracted,,
P0-REX-0011,REX-20260323-0014,MAT-20260323-0011,心理与测评,学生,心理测评平台常见问题有哪些、分别如何解决？,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/4.心理测评平台常见问题.pdf,knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0011,心理测评平台高频问题处理规则,测评过程中出现登录导入参测上报异常时执行,校级管理员教师账号及参测学生均可按角色处理对应问题,账号绑定手机号+标准导入模板+信息报备记录,登录异常先重置密码或由管理员修正账号→导入失败按官方模板重新导入→无法参测检查是否已信息报备并添加测评学生→数据上报前先提交数据上报申请,测评后显示未完成建议等待24小时再核验或重新答题,手机号被其他学校占用或账号负责人更换需联系工作人员处理；加入测评学生不能删除可停用,测评管理提示请先完成信息报备才可以继续测评且学生登录手机号是唯一登录方式,extracted,,
P0-REX-0012,REX-20260323-0015,MAT-20260323-0012,证件与校园服务,全体学生,校园卡丢失后如何补卡、多久可以恢复使用？,数据库部分材料/数据库部分材料/模板/校园卡补卡指南.pdf,knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0012,校园卡实体卡挂失与补卡流程,校园实体卡丢失后立即处理时执行,校园卡持卡人且卡内余额满足补卡条件可走自助补卡,校园卡号+消费密码+本人二代身份证+补卡费用余额,先挂失校园卡→选择自助补卡机或人工补卡→自助机输入卡号和密码并识别身份证→选择余额支付完成补卡并取卡,自助补卡机可即时出卡且补卡前需确认卡内余额至少10元,卡内余额不足无法选择余额支付需先充值；学生和教职工自助补卡机支持范围不同,补卡需支付补卡费且仅支持校园卡余额支付并要求补卡前余额≥10元,extracted,,
P0-REX-0013,REX-20260323-0016,MAT-20260323-0013,竞赛与第二课堂,全体学生,第二课堂成绩单实施办法中的学分与认定规则是什么？,数据库部分材料/数据库部分材料/模板/山东第一医科大学（山东省医学科学院）“第二课堂成绩单”实施办法.pdf,knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0013,第二课堂积分认定与学分转换规则,学生参与第二课堂活动并进行学年认定时执行,适用于2022年及以后入学普通全日制本科生,齐鲁第二课堂系统活动记录+班级认定公示材料+学院审核备案材料,通过齐鲁第二课堂系统记录活动积分→学年开学两个月内完成班级认定公示3天和学院审核→毕业前一学期开展积分转学分并录入成绩,每学年开学两个月内完成认定审核公示备案；毕业学期开学后两个月内可再次开展补充转换,弄虚作假申请积分将取消该项目积分并按规定给予纪律处分,取得30个积分可获得8个拓展培养学分且30分中各模块有最低分要求并按30到39及40到49及50以上对应成绩,extracted,,
P0-REX-0014,REX-20260323-0017,MAT-20260323-0014,竞赛与第二课堂,学生,第二课堂录入流程中学生端和管理员端分别怎么操作？,数据库部分材料/数据库部分材料/模板/第二课堂激活/第二课堂录入操作流程.docx,knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0014__第二课堂录入操作流程.md,第二课堂激活报名签到操作流程,学生首次使用第二课堂平台或参与活动时执行,姓名学号院校信息需与后台白名单一致的在校学生,招商银行APP登录信息+学校辅助激活二维码+学号姓名院校信息,下载并注册招商银行APP→搜索第二课堂并扫码激活→活动报名中点击立即报名或取消报名→活动开始后参与者出示签到码管理员在考勤管理扫码签到,激活成功后即可进入首页；报名仅在活动状态为未开启或报名中可操作,姓名学号院校不匹配会提示未查询到学生信息或已激活不可重复激活,若姓名院校学号均匹配则提示激活成功并跳转首页且活动状态为报名中时可立即报名,extracted,manual_review,时效待确认需复核
P0-REX-0015,REX-20260323-0018,MAT-20260323-0015,就业与毕业,毕业生,毕业离校手续有哪些环节，办理顺序是什么？,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/2025届毕业离校通知.docx,knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0015__2025届毕业离校通知.md,毕业生离校退宿办理规则,毕业典礼后毕业生集中离校阶段执行,2025届毕业生及申请延期住宿或升学留校学生,宿舍钥匙+空调遥控器+延期住宿申请材料,毕业典礼后整理个人物品→到楼宇值班室办理退宿并归还钥匙和遥控器→按要求完成离校；延期住宿学生提前向辅导员申请调配宿舍,最晚离校时间为6月29日中午12点前且延期住宿申请需在6月26日前提出,未归还钥匙遥控器需照价赔偿；逾期未带走物品按废弃物处理,6月26日毕业典礼后最晚离校时间为6月29日中午12点前并需办理退宿交还钥匙和遥控器,extracted,,
P0-REX-0016,REX-20260323-0021,MAT-20260323-0020,就业与毕业,毕业生,毕业生档案去向核对应注意哪些信息和时间节点？,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/档案去向核对/档案信息核对确认 注意事项.docx,knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0020__档案信息核对确认 注意事项.md,毕业生档案信息核对与更正规则,就业方案核对名单出现错误时执行,学院就业工作管理员可在省网国网中修改对应字段,省网导出错误名单+学生基础信息+必要时向人社厅报告材料,从省网导出核对有误名单→按错误类型在省网或国网修正基础信息→档案接收信息错误由学院直接在省网修改→生源地错误联系学校向人社厅报告后修改,发现错误后应在档案寄递前尽快完成修正避免影响派遣和寄递,政治面貌错误通常不影响毕业派遣；生源地错误不可由学院直接改需报人社厅,政治面貌错误可在省网学生信息修改或国网基本信息直接更改且生源地错误需联系我们给人社厅打报告修改,extracted,,
