"source_type","material_id","source_path","file_name","extension","knowledge_category","processing_action","value_level","timeliness","title_guess","audience","material_type","is_template"
"batch2-materials","MAT-20260324-0024","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件3：（     学院）国家助学金申请表.docx","附件3：（     学院）国家助学金申请表.docx",".docx","奖助贷补","可转知识","B","阶段性","附件3：（     学院）国家助学金申请表","新生","模板","否"
"batch2-materials","MAT-20260324-0025","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件4：本专科生国家助学金实施细则.docx","附件4：本专科生国家助学金实施细则.docx",".docx","奖助贷补","可转知识","B","阶段性","附件4：本专科生国家助学金实施细则","新生","制度","否"
"batch2-materials","MAT-20260324-0026","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","关于做好2024-2025学年本科生国家助学金评选工作的通知.docx",".docx","奖助贷补","可转知识","B","阶段性","关于做好2024-2025学年本科生国家助学金评选工作的通知","新生","通知","否"
"batch2-materials","MAT-20260324-0027","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明.docx",".docx","奖助贷补","可转知识","B","阶段性","附件2：一网通办系统学生申请操作说明","新生","操作手册","否"
"batch2-materials","MAT-20260324-0028","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/关于开展2025-2026学年家庭经济困难认定的通知.docx","关于开展2025-2026学年家庭经济困难认定的通知.docx",".docx","奖助贷补","可转知识","B","阶段性","关于开展2025-2026学年家庭经济困难认定的通知","新生","通知","否"
"batch2-materials","MAT-20260324-0029","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/学院、班级一网通办操作说明.docx","学院、班级一网通办操作说明.docx",".docx","奖助贷补","可转知识","B","阶段性","学院、班级一网通办操作说明","新生","操作手册","否"
"batch2-materials","MAT-20260324-0030","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","全体学生","制度","是"
"batch2-materials","MAT-20260324-0031","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx","关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","关于做好2024-2025学年本科生省政府奖学金评选工作的通知","全体学生","通知","是"
"batch2-materials","MAT-20260324-0032","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","全体学生","制度","是"
"batch2-materials","MAT-20260324-0033","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/关于做好2024-2025学年本科生国家奖学金评选工作的通知.docx","关于做好2024-2025学年本科生国家奖学金评选工作的通知.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","关于做好2024-2025学年本科生国家奖学金评选工作的通知","全体学生","通知","是"
"batch2-materials","MAT-20260324-0034","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年励志奖学金评审通知/2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知.docx","2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知","全体学生","通知","是"
"batch2-materials","MAT-20260324-0035","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年励志奖学金评审通知/励志奖学金审核要点.docx","励志奖学金审核要点.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","励志奖学金审核要点","全体学生","通知","是"
"batch2-materials","MAT-20260324-0036","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件3：（     学院）国家助学金申请表.docx","附件3：（     学院）国家助学金申请表.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","附件3：（     学院）国家助学金申请表","全体学生","模板","是"
"batch2-materials","MAT-20260324-0037","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件4：本专科生国家助学金实施细则.docx","附件4：本专科生国家助学金实施细则.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","附件4：本专科生国家助学金实施细则","全体学生","制度","是"
"batch2-materials","MAT-20260324-0038","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","关于做好2024-2025学年本科生国家助学金评选工作的通知.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","关于做好2024-2025学年本科生国家助学金评选工作的通知","全体学生","通知","是"
"batch2-materials","MAT-20260324-0039","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","附件2：一网通办系统学生申请操作说明","学生","操作手册","是"
"batch2-materials","MAT-20260324-0040","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","附件2：一网通办系统学生申请操作说明","学生","操作手册","是"
"batch2-materials","MAT-20260324-0041","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/关于开展2025-2026学年家庭经济困难认定的通知.docx","关于开展2025-2026学年家庭经济困难认定的通知.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","关于开展2025-2026学年家庭经济困难认定的通知","全体学生","通知","是"
"batch2-materials","MAT-20260324-0042","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/学院、班级一网通办操作说明.docx","学院、班级一网通办操作说明.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","学院、班级一网通办操作说明","全体学生","操作手册","是"
"batch2-materials","MAT-20260324-0043","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025校级奖学金/关于评选2024-2025学年校级综合奖学金的通知.docx","关于评选2024-2025学年校级综合奖学金的通知.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","关于评选2024-2025学年校级综合奖学金的通知","全体学生","通知","是"
"batch2-materials","MAT-20260324-0055","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年 院级优秀评选/通知.docx","通知.docx",".docx","奖助贷补","可转知识","B","阶段性","通知","新生","通知","否"
"candidate-pool","","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1).doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1).doc",".doc","奖助贷补","提炼规则后入库","B","待确认","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1)","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件1：山东省高等教育资助申请表.doc","附件1：山东省高等教育资助申请表.doc",".doc","奖助贷补","可转知识","B","阶段性","附件1：山东省高等教育资助申请表","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件3：个人承诺书、社会救助家庭经济状况核对授权.pdf","附件3：个人承诺书、社会救助家庭经济状况核对授权.pdf",".pdf","奖助贷补","可转知识","B","阶段性","附件3：个人承诺书、社会救助家庭经济状况核对授权","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）.doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）.doc",".doc","奖助贷补","提炼规则后入库","B","待确认","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/贫困认定弃权声明 (2).docx","贫困认定弃权声明 (2).docx",".docx","奖助贷补","可转知识","B","阶段性","贫困认定弃权声明 (2)","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/贫困认定弃权声明 (2).docx","贫困认定弃权声明 (2).docx",".docx","奖助贷补","可转知识","B","阶段性","贫困认定弃权声明 (2)","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.11 2025年秋季学期勤工助学通知/附件2山东第一医科大学学生勤工助学申请表.doc","附件2山东第一医科大学学生勤工助学申请表.doc",".doc","奖助贷补","可转知识","B","阶段性","附件2山东第一医科大学学生勤工助学申请表","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/省奖学金系统操作说明(1020).pdf","省奖学金系统操作说明(1020).pdf",".pdf","奖助贷补","提炼规则后入库","B","待确认","省奖学金系统操作说明(1020)","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/附件3：（    学院）2024-2025学年国家奖学金汇总表和审批表/（      学院）+姓名2025高等学校国家奖学金申请审批表.doc","（      学院）+姓名2025高等学校国家奖学金申请审批表.doc",".doc","奖助贷补","提炼规则后入库","C","待确认","（      学院）+姓名2025高等学校国家奖学金申请审批表","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/附件3：（    学院）2024-2025学年国家奖学金汇总表和审批表/（样表）2025版国家奖学金申请审批表.doc","（样表）2025版国家奖学金申请审批表.doc",".doc","奖助贷补","提炼规则后入库","C","待确认","（样表）2025版国家奖学金申请审批表","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025级助学金（全院123、25级26）/2025级公管2班助学金公示+报告.pdf","2025级公管2班助学金公示+报告.pdf",".pdf","奖助贷补","提炼规则后入库","B","待确认","2025级公管2班助学金公示+报告","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/25级困难认定/25级公管2班报告+公示结果.pdf","25级公管2班报告+公示结果.pdf",".pdf","奖助贷补","提炼规则后入库","B","待确认","25级公管2班报告+公示结果","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/25级困难认定/25级医药管理学院承诺书.pdf","25级医药管理学院承诺书.pdf",".pdf","奖助贷补","提炼规则后入库","B","待确认","25级医药管理学院承诺书","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/25级困难认定/25级医药管理学院社会救助家庭经济状况核对授权.pdf","25级医药管理学院社会救助家庭经济状况核对授权.pdf",".pdf","奖助贷补","提炼规则后入库","B","待确认","25级医药管理学院社会救助家庭经济状况核对授权","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1).doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1).doc",".doc","奖助贷补","提炼规则后入库","B","待确认","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1)","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件1：山东省高等教育资助申请表.doc","附件1：山东省高等教育资助申请表.doc",".doc","奖助贷补","提炼规则后入库","B","待确认","附件1：山东省高等教育资助申请表","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件3：个人承诺书、社会救助家庭经济状况核对授权.pdf","附件3：个人承诺书、社会救助家庭经济状况核对授权.pdf",".pdf","奖助贷补","提炼规则后入库","B","待确认","附件3：个人承诺书、社会救助家庭经济状况核对授权","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）.doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）.doc",".doc","奖助贷补","提炼规则后入库","B","待确认","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/贫困认定弃权声明 (2).docx","贫困认定弃权声明 (2).docx",".docx","奖助贷补","提炼规则后入库","B","待确认","贫困认定弃权声明 (2)","","",""
"candidate-pool","","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/贫困认定弃权声明 (2).docx","贫困认定弃权声明 (2).docx",".docx","奖助贷补","提炼规则后入库","B","待确认","贫困认定弃权声明 (2)","","",""
